Ward name,Old code,New code,Population 2015,In employment 2011,Number of jobs 2013,Median House Price 2014,Median Household income 2012,Average Public Transport Accessibility score 2014
Merton Lavender Fields,00BAGF,E05000463,10650,5393,1600,280000,33360,2.7
Merton Longthornton,00BAGG,E05000464,10500,4737,900,295000,34350,2.8
Merton Lower Morden,00BAGH,E05000465,9350,4660,2100,320000,38730,2.2
Merton Merton Park,00BAGJ,E05000466,9750,4702,4100,522500,46300,3.8
Merton Pollards Hill,00BAGK,E05000467,10800,4560,800,288000,31940,2.6
Merton Ravensbury,00BAGL,E05000468,10250,4489,1800,285000,32330,2.9
Merton Raynes Park,00BAGM,E05000469,10000,5072,8300,499500,49340,3.8
Merton St. Helier,00BAGN,E05000470,10650,4703,2000,280000,32530,3.1
Merton Trinity,00BAGP,E05000471,10000,5925,6900,497000,47380,3.9
Merton Village,00BAGQ,E05000472,8750,3730,5200,1530000,62200,2.4
Merton West Barnes,00BAGR,E05000473,10200,4990,4100,475000,44170,2.9
Merton Wimbledon Park,00BAGS,E05000474,11500,6198,5200,732500,50730,3.1
Newham Beckton,00BBGB,E05000475,16700,6682,10700,233500,34100,2.8
Newham Boleyn,00BBGC,E05000476,16350,6291,2900,250000,31630,4
Newham Canning Town North,00BBGD,E05000477,16650,6103,7100,249000,28910,4.7
Newham Canning Town South,00BBGE,E05000478,20350,7403,2700,280000,32870,3.6
Newham Custom House,00BBGF,E05000479,14850,5839,3300,250000,31840,3.2
Newham East Ham Central,00BBGG,E05000480,16200,6503,3900,250000,32380,4.7
Newham East Ham North,00BBGH,E05000481,14250,5482,2000,249995,32340,4.4
Newham East Ham South,00BBGJ,E05000482,16250,5952,2600,240000,31430,2.6
Newham Forest Gate North,00BBGK,E05000483,16550,7545,1600,313000,34270,3.2
Newham Forest Gate South,00BBGL,E05000484,18150,7985,3400,263900,34550,3.9
Newham Green Street East,00BBGM,E05000485,16250,6341,1800,260000,31570,3.7
Newham Green Street West,00BBGN,E05000486,15500,5873,4100,250000,31080,4
Newham Little Ilford,00BBGP,E05000487,17100,5774,1600,230000,29730,2.7
Newham Manor Park,00BBGQ,E05000488,15600,5936,1900,249975,31580,4
Newham Plaistow North,00BBGR,E05000489,15800,6260,1700,250000,30740,4.4
Newham Plaistow South,00BBGS,E05000490,16800,6921,4900,250000,31750,4.4
Newham Royal Docks,00BBGT,E05000491,16550,5750,6100,303500,38580,2.8
Newham Stratford and New Town,00BBGU,E05000492,26700,9665,24800,280000,35840,5.8
Newham Wall End,00BBGW,E05000493,15150,5786,1300,250000,32330,3.7
Newham West Ham,00BBGX,E05000494,16150,7002,1800,273500,32310,4.7
Redbridge Aldborough,00BCFY,E05000495,15800,6327,4300,315000,37310,2.7
Redbridge Barkingside,00BCFZ,E05000496,13150,5513,2400,368750,39620,3.2
Redbridge Bridge,00BCGA,E05000497,11850,5683,2100,340000,39320,2.5
Redbridge Chadwell,00BCGB,E05000498,14850,6343,2500,250000,36700,2.4
Redbridge Church End,00BCGC,E05000499,11900,6381,4500,340000,45410,2.7
Redbridge Clayhall,00BCGD,E05000500,13600,5723,3700,390000,41450,2.3
Redbridge Clementswood,00BCGE,E05000501,16950,5459,8500,235000,30230,3.4
Redbridge Cranbrook,00BCGF,E05000502,13300,5349,3200,367500,38290,3.8
Redbridge Fairlop,00BCGG,E05000503,12900,5906,3000,310000,37560,2.8
Redbridge Fullwell,00BCGH,E05000504,13150,5407,2000,339498,35690,2.4
Redbridge Goodmayes,00BCGJ,E05000505,13400,5407,2300,307000,33820,3.7
Redbridge Hainault,00BCGK,E05000506,13550,5304,3500,249999,31520,2.4
Redbridge Loxford,00BCGL,E05000507,17700,5618,3200,193000,28500,3.4
Redbridge Mayfield,00BCGM,E05000508,13950,5561,2100,305000,35630,2.7
Redbridge Monkhams,00BCGN,E05000509,10650,4950,3100,499748,48780,2.6
Redbridge Newbury,00BCGP,E05000510,17450,6931,3600,315000,35550,3.1
Redbridge Roding,00BCGQ,E05000511,12550,5951,2100,302500,41040,2.5
Redbridge Seven Kings,00BCGR,E05000512,16950,6066,6800,294000,34480,3.1
Redbridge Snaresbrook,00BCGS,E05000513,12100,6214,3300,361393,45160,3.6
Redbridge Valentines,00BCGT,E05000514,15050,5758,4800,225000,34900,4.5
Redbridge Wanstead,00BCGU,E05000515,11700,5688,1100,460000,46370,2.5
Richmond upon Thames Barnes,00BDFW,E05000516,10500,4839,2700,1362500,55450,3.4
Richmond upon Thames East Sheen,00BDFX,E05000517,10500,5108,3500,985000,56090,2.6
Richmond upon Thames Fulwell and Hampton Hill,00BDFY,E05000518,10300,5350,4900,480000,48810,3.2
"Richmond upon Thames Ham, Petersham & Richmond Riverside",00BDFZ,E05000519,10550,4857,2700,500000,44870,2.1
Richmond upon Thames Hampton,00BDGA,E05000520,10250,4999,4100,599950,46750,2.7
Richmond upon Thames Hampton North,00BDGB,E05000521,9600,4482,2200,335000,39440,2.1
Richmond upon Thames Hampton Wick,00BDGC,E05000522,10550,4950,3300,455000,46760,2.7
Richmond upon Thames Heathfield,00BDGD,E05000523,10600,4752,1300,380500,36950,2
Richmond upon Thames Kew,00BDGE,E05000524,11650,5807,4300,630000,52130,2.9
Richmond upon Thames Mortlake and Barnes Common,00BDGF,E05000525,11100,5800,2600,746500,50100,3
Richmond upon Thames North Richmond,00BDGG,E05000526,11050,5695,4500,625625,50860,4.4
Richmond upon Thames St. Margarets & North Twickenham,00BDGH,E05000527,11800,6200,4000,600000,52870,3.1
Richmond upon Thames South Richmond,00BDGJ,E05000528,11100,5715,13200,655000,52690,4.2
Richmond upon Thames South Twickenham,00BDGK,E05000529,10100,5458,4300,555500,51380,3.5
Richmond upon Thames Teddington,00BDGL,E05000530,10550,5564,8400,499950,50600,3.2
Richmond upon Thames Twickenham Riverside,00BDGM,E05000531,10650,5916,8400,458725,51350,4.5
Richmond upon Thames West Twickenham,00BDGN,E05000532,10750,5568,2100,450000,45040,2.7
Richmond upon Thames Whitton,00BDGP,E05000533,10050,4802,1400,420000,42230,2.4
Southwark Brunswick Park,00BEGC,E05000534,13600,6446,6700,346500,36310,4.1
Southwark Camberwell Green,00BEGD,E05000535,15950,6937,5400,310000,31840,5.6
Southwark Cathedrals,00BEGE,E05000536,17250,7697,65500,580000,40430,8
Southwark Chaucer,00BEGF,E05000537,16200,8056,18000,442000,37780,7.2
Southwark College,00BEGG,E05000538,11900,5705,1900,350000,42600,3.4
Southwark East Dulwich,00BEGH,E05000539,12400,7196,2700,572500,48670,4.1
Southwark East Walworth,00BEGJ,E05000540,13850,5291,4100,315000,31010,5.8
Southwark Faraday,00BEGK,E05000541,13050,5581,1400,315000,30760,4.7
Southwark Grange,00BEGL,E05000542,17600,8428,16800,500000,38500,5.1
Southwark Livesey,00BEGM,E05000543,15000,5742,4000,289995,28880,4.3
Southwark Newington,00BEGN,E05000544,15500,6957,6900,380000,34190,5.8
Southwark Nunhead,00BEGP,E05000545,13850,6328,1200,356250,33540,4.8
Southwark Peckham,00BEGQ,E05000546,15350,6258,1400,285000,30030,4.1
Southwark Peckham Rye,00BEGR,E05000547,13550,7263,1400,421000,42820,3.5
Southwark Riverside,00BEGS,E05000548,16600,8745,46700,585000,43110,4.4
Southwark Rotherhithe,00BEGT,E05000549,15050,7175,3400,421800,36970,5.3
Southwark South Bermondsey,00BEGU,E05000550,14400,6452,2300,288025,31150,3.7
Southwark South Camberwell,00BEGW,E05000551,13200,6543,3000,396089,41130,4.6
Southwark Surrey Docks,00BEGX,E05000552,15400,8567,2700,415000,45410,2.9
Southwark The Lane,00BEGY,E05000553,16450,7623,4900,407500,37940,6
Southwark Village,00BEGZ,E05000554,12500,6258,3100,850000,58400,4.1
Sutton Beddington North,00BFGC,E05000555,10550,5250,9500,289000,39290,2.6
Sutton Beddington South,00BFGD,E05000556,10900,4718,2100,386000,35600,2
Sutton Belmont,00BFGE,E05000557,10350,5042,4300,290000,44260,2.3
Sutton Carshalton Central,00BFGF,E05000558,10400,5302,2600,318000,42200,3.3
Sutton Carshalton South and Clockhouse,00BFGG,E05000559,10200,4741,1900,419995,44270,2.1
Sutton Cheam,00BFGH,E05000560,10550,4749,3800,376000,46220,2.2
Sutton Nonsuch,00BFGJ,E05000561,10900,5402,2500,388500,42640,2.3
Sutton St. Helier,00BFGK,E05000562,12300,5418,4300,248000,31040,2.9
Sutton Stonecot,00BFGL,E05000563,11000,5420,2900,347500,39210,2.5
Sutton Sutton Central,00BFGM,E05000564,11550,5793,16000,240000,35660,4.9
Sutton Sutton North,00BFGN,E05000565,10600,4959,1700,300500,38060,3.3
Sutton Sutton South,00BFGP,E05000566,10000,5073,3900,250000,40460,3.3
Sutton Sutton West,00BFGQ,E05000567,10900,5686,1900,270000,41610,3.5
Sutton The Wrythe,00BFGR,E05000568,10500,5289,1500,257500,36790,2.6
Sutton Wallington North,00BFGS,E05000569,10900,5531,2900,272000,38710,3.5
Sutton Wallington South,00BFGT,E05000570,10650,4886,3200,246000,37960,3.4
Sutton Wandle Valley,00BFGU,E05000571,12250,5601,2000,243500,32330,2.4
Sutton Worcester Park,00BFGW,E05000572,11950,6052,2700,338000,40610,2.4
Tower Hamlets Bethnal Green North,00BGFW,E05000573,14750,6580,4700,383000,36230,6
Tower Hamlets Bethnal Green South,00BGFX,E05000574,15150,5934,3600,357500,32860,6.8
Tower Hamlets Blackwall and Cubitt Town,00BGFY,E05000575,23250,10684,25800,380000,43330,3.8
Tower Hamlets Bow East,00BGFZ,E05000576,15650,7655,6200,325000,36800,3.6
Tower Hamlets Bow West,00BGGA,E05000577,13650,6262,3000,415000,41000,5.2
Tower Hamlets BromleybyBow,00BGGB,E05000578,19750,5386,4100,302500,31980,4.2
Tower Hamlets East India and Lansbury,00BGGC,E05000579,16550,5124,2700,293000,29680,3.5
Tower Hamlets Limehouse,00BGGD,E05000580,17100,7314,4000,375000,36260,5
Tower Hamlets Mile End and Globe Town,00BGGE,E05000581,16200,6271,7300,385000,34300,5.4
Tower Hamlets Mile End East,00BGGF,E05000582,15200,5276,3700,325000,32510,5.3
Tower Hamlets Millwall,00BGGG,E05000583,26350,13759,115700,420000,46940,3.4
Tower Hamlets St. Dunstans and Stepney Green,00BGGH,E05000584,17100,6098,3100,363250,32930,5.4
Tower Hamlets St. Katherines and Wapping,00BGGJ,E05000585,13550,7619,15300,453000,50770,4.4
Tower Hamlets Shadwell,00BGGK,E05000586,15900,6534,3500,370000,36360,6
Tower Hamlets Spitalfields and Banglatown,00BGGL,E05000587,11800,5055,23700,499995,39910,6.9
Tower Hamlets Weavers,00BGGM,E05000588,15050,6693,4400,510000,37760,5.5
Tower Hamlets Whitechapel,00BGGN,E05000589,17300,7530,24300,489000,37600,6.8
Waltham Forest Cann Hall,00BHFX,E05000590,14350,6265,1500,326000,32700,2.9
Waltham Forest Cathall,00BHFY,E05000591,13300,5715,1500,332500,30950,4.3
Waltham Forest Chapel End,00BHFZ,E05000592,14600,6595,4100,340000,36440,2.9
Waltham Forest Chingford Green,00BHGA,E05000593,10550,4570,3500,330000,39280,2.8
Waltham Forest Endlebury,00BHGB,E05000594,11150,4871,1300,310000,38580,2.4
Waltham Forest Forest,00BHGC,E05000595,13250,5861,10500,401000,36080,4.3
Waltham Forest Grove Green,00BHGD,E05000596,15300,7587,1100,308000,36350,4.2
Waltham Forest Hale End and Highams Park,00BHGE,E05000597,12200,5319,6400,288748,39490,2.5
Waltham Forest Hatch Lane,00BHGF,E05000598,11400,4914,1600,286500,36110,2.5
Waltham Forest High Street,00BHGG,E05000599,14850,7146,3600,333000,34810,4.4
Waltham Forest Higham Hill,00BHGH,E05000600,14200,5608,3300,325000,31270,2.6
Waltham Forest Hoe Street,00BHGJ,E05000601,14600,6453,3100,360000,34890,5.2
Waltham Forest Larkswood,00BHGK,E05000602,12050,5104,2300,335000,35170,2.8
Waltham Forest Lea Bridge,00BHGL,E05000603,16250,6671,6100,283250,31450,3.6
Waltham Forest Leyton,00BHGM,E05000604,14950,5956,5700,255000,31040,3.8
Waltham Forest Leytonstone,00BHGN,E05000605,13450,6887,3800,345000,38700,5.5
Waltham Forest Markhouse,00BHGP,E05000606,15250,6044,2200,324000,33780,4.2
Waltham Forest Valley,00BHGQ,E05000607,11850,5100,3300,285000,34250,2.4
Waltham Forest William Morris,00BHGR,E05000608,13750,6291,2500,351625,35070,3.5
Waltham Forest Wood Street,00BHGS,E05000609,14150,5974,2300,387500,35130,3.7
Wandsworth Balham,00BJFZ,E05000610,15050,9369,4800,595000,53420,4.7
Wandsworth Bedford,00BJGA,E05000611,15100,9077,1900,496500,46410,4.1
Wandsworth Earlsfield,00BJGB,E05000612,16100,9556,5900,541000,44360,3.9
Wandsworth East Putney,00BJGC,E05000613,15850,9292,4100,534000,49010,4.1
Wandsworth Fairfield,00BJGD,E05000614,15350,9882,8300,500000,48590,5.5
Wandsworth Furzedown,00BJGE,E05000615,15850,7450,1600,410000,38240,3.2
Wandsworth Graveney,00BJGF,E05000616,15700,8095,3600,440000,37960,5.2
Wandsworth Latchmere,00BJGG,E05000617,15850,7869,2600,398500,34990,5.9
Wandsworth Nightingale,00BJGH,E05000618,14950,8864,3600,595000,50790,5.4
Wandsworth Northcote,00BJGJ,E05000619,15400,9397,6400,795000,55810,5.3
Wandsworth Queenstown,00BJGK,E05000620,20150,9607,12200,630000,39580,4.4
Wandsworth Roehampton,00BJGL,E05000621,17550,6856,4400,374950,30320,2.8
Wandsworth St. Marys Park,00BJGM,E05000622,17250,9696,10400,530000,44720,3.9
Wandsworth Shaftesbury,00BJGN,E05000623,14500,9354,4000,700000,50410,5.5
Wandsworth Southfields,00BJGP,E05000624,16750,9716,5700,515250,48160,3.7
Wandsworth Thamesfield,00BJGQ,E05000625,15400,9409,10900,700000,55380,4.5
Wandsworth Tooting,00BJGR,E05000626,17350,8038,14100,440500,36000,5.1
Wandsworth Wandsworth Common,00BJGS,E05000627,16350,7925,3700,568000,51420,2.7
Wandsworth West Hill,00BJGT,E05000628,16850,8595,2400,395000,40360,2.8
Wandsworth West Putney,00BJGU,E05000629,15400,7376,1800,497800,43280,2.7
Westminster Abbey Road,00BKGA,E05000630,11500,5233,3800,750000,52200,5.4
Westminster Bayswater,00BKGB,E05000631,10500,5977,4300,850000,49960,6.5
Westminster Bryanston and Dorset Square,00BKGC,E05000632,12650,6295,29300,975000,51370,8
Westminster Churchill,00BKGD,E05000633,10550,4085,3500,1100000,39530,4.9
Westminster Church Street,00BKGE,E05000634,12000,3744,4700,440000,26290,6.7
Westminster Harrow Road,00BKGF,E05000635,12350,5533,2200,499950,35000,5.7
Westminster Hyde Park,00BKGG,E05000636,13450,6014,30000,850000,46880,8
Westminster Knightsbridge and Belgravia,00BKGH,E05000637,10050,3947,34300,3500000,88330,6.6
Westminster Lancaster Gate,00BKGJ,E05000638,13800,7523,7900,895000,49290,7.7
Westminster Little Venice,00BKGK,E05000639,11050,5384,2900,870000,48770,5.6
Westminster Maida Vale,00BKGL,E05000640,10550,5243,1800,773000,45660,5.2
Westminster Marylebone High Street,00BKGM,E05000641,11150,5902,67900,1090000,58370,7.7
Westminster Queens Park,00BKGN,E05000642,13050,5088,1900,545000,32260,5
Westminster Regents Park,00BKGP,E05000643,12500,5153,9100,942500,46510,5.2
Westminster St. Jamess,00BKGQ,E05000644,12050,5879,214300,1262500,52520,7.6
Westminster Tachbrook,00BKGR,E05000645,8500,4531,2600,715650,47340,6.6
Westminster Vincent Square,00BKGS,E05000646,10500,5023,26700,840000,46550,6.9
Westminster Warwick,00BKGT,E05000647,9800,5388,24200,857250,50250,7.2
Westminster Westbourne,00BKGU,E05000648,13200,5173,3800,499975,32390,4.9
Westminster West End,00BKGW,E05000649,11250,6124,217900,1487500,54970,8
City of London,00AA,E09000001,8100,4555,392400,765000,63620,7.9
Barking and Dagenham,00AB,E09000002,205450,74001,50000,215000,34080,3
Barnet,00AC,E09000003,393200,164302,124300,400000,54530,3
Bexley,00AD,E09000004,237000,107274,69400,250000,44430,2.6
Brent,00AE,E09000005,326350,144030,111600,385000,39630,3.7
Bromley,00AF,E09000006,320100,146448,105000,335000,55140,2.8
Camden,00AG,E09000007,230300,105123,327600,675000,67990,5.7
Croydon,00AH,E09000008,381150,168680,113100,265000,45120,3.2
Ealing,00AJ,E09000009,349350,161259,124400,388000,45690,3.3
Enfield,00AK,E09000010,322150,133872,98500,285000,41250,3
Greenwich,00AL,E09000011,281550,115561,74700,317000,44370,3.4
Hackney,00AM,E09000012,262700,116980,108500,433000,42690,4.9
Hammersmith and Fulham,00AN,E09000013,189850,97453,130500,661000,62910,4.7
Haringey,00AP,E09000014,269100,121835,65100,405000,45860,4.3
Harrow,00AQ,E09000015,247500,110158,71700,370000,49060,2.9
Havering,00AR,E09000016,250350,109624,77000,250000,44430,2.5
Hillingdon,00AS,E09000017,289500,127046,200000,307000,44950,2.4
Hounslow,00AT,E09000018,263600,124325,143400,319950,44490,3
Islington,00AU,E09000019,220800,104767,208600,530000,54950,5.7
Kensington and Chelsea,00AW,E09000020,161700,77998,125300,1195000,116350,5.8
Kingston upon Thames,00AX,E09000021,167200,79777,74100,385000,56920,2.9
Lambeth,00AY,E09000022,320450,164113,143100,420000,48610,5
Lewisham,00AZ,E09000023,293050,133650,65200,315000,43360,4.1
Merton,00BA,E09000024,206200,102354,81200,385000,57160,3.4
Newham,00BB,E09000025,338000,131093,90100,250000,34260,3.9
Redbridge,00BC,E09000026,292450,121539,72200,301500,45380,3
Richmond upon Thames,00BD,E09000027,191600,95862,77600,535000,76610,3.1
Southwark,00BE,E09000028,308650,145248,203400,420000,48000,4.9
Sutton,00BF,E09000029,196400,94912,70000,285000,49170,2.9
Tower Hamlets,00BG,E09000030,284300,119774,255200,383000,45720,5
Waltham Forest,00BH,E09000031,271450,118931,69800,320000,39460,3.6
Wandsworth,00BJ,E09000032,322750,175423,112400,532500,66220,4.3
Westminster,00BK,E09000033,230550,107239,693100,875000,80760,6.5