,Clusters,Polygon
32,32,"[(-0.3131235, 51.4494277), (-0.313273, 51.449484999999996), (-0.31371279999999996, 51.4526309), (-0.307658, 51.469026899999996), (-0.298323, 51.465808200000005), (-0.29148720000000006, 51.463055700000005), (-0.2888335, 51.4607527), (-0.2881901, 51.4589673), (-0.2901672, 51.45531210000001), (-0.2962413, 51.4502258), (-0.2975085, 51.45013839999999), (-0.3131235, 51.4494277)]"
33,33,"[(-0.0594859, 51.4342061), (-0.0608554, 51.43512020000001), (-0.06352719999999999, 51.440439899999994), (-0.062479099999999996, 51.44163270000001), (-0.0596357, 51.4438841), (-0.055409400000000004, 51.4469391), (-0.04581369999999999, 51.437208700000006), (-0.0294909, 51.4353225), (-0.0288298, 51.4346011), (-0.0262991, 51.4263195), (-0.030773000000000002, 51.424416), (-0.0341739, 51.4234402), (-0.041628399999999996, 51.4261935), (-0.0509209, 51.429805200000004), (-0.0594859, 51.4342061)]"
34,34,"[(-0.3312657, 51.4826975), (-0.3406969, 51.478777799999996), (-0.3476518, 51.482823700000004), (-0.34816990000000003, 51.4831622), (-0.33541540000000003, 51.48765039999999), (-0.33008119999999996, 51.4882732), (-0.3184987, 51.4919784), (-0.30855959999999993, 51.4913462), (-0.2959768, 51.493709499999994), (-0.2878973, 51.4890982), (-0.28776940000000006, 51.4883945), (-0.2878415, 51.4881322), (-0.31118779999999996, 51.4768901), (-0.31623140000000005, 51.4748479), (-0.32522290000000004, 51.4825495), (-0.3312657, 51.4826975)]"
35,35,"[(-0.2585917, 51.4837475), (-0.270758, 51.484202), (-0.27832290000000004, 51.4846032), (-0.2830003, 51.4869374), (-0.2837063, 51.487375799999995), (-0.28548320000000005, 51.4906436), (-0.28476440000000003, 51.4920219), (-0.28296220000000005, 51.495445399999994), (-0.282765, 51.4957578), (-0.2762469, 51.495652299999996), (-0.2656832, 51.5029403), (-0.25242570000000003, 51.495934000000005), (-0.2508727, 51.492744), (-0.2546909, 51.4848386), (-0.2585917, 51.4837475)]"
36,36,"[(0.0246859, 51.5738283), (0.0179484, 51.574339200000004), (0.0164697, 51.580236799999994), (0.0161667, 51.5814568), (0.0147583, 51.594774), (0.013353299999999999, 51.6003351), (0.0169728, 51.603205700000004), (0.025508700000000002, 51.599177399999995), (0.025905200000000003, 51.598937299999996), (0.0349612, 51.59341), (0.0339032, 51.5906126), (0.028218599999999996, 51.5759872), (0.027451299999999998, 51.5744935), (0.0246859, 51.5738283)]"
37,37,"[(-0.21478490000000003, 51.5742634), (-0.21541100000000002, 51.573902399999994), (-0.22347039999999999, 51.571843), (-0.22480300000000003, 51.5715902), (-0.2322259, 51.572048200000005), (-0.23351149999999998, 51.5722988), (-0.2373053, 51.5739178), (-0.2515729, 51.5791785), (-0.2578098, 51.5820585), (-0.270129, 51.586527000000004), (-0.2760849, 51.5896252), (-0.279408, 51.6104438), (-0.28069099999999997, 51.612134600000005), (-0.27542209999999995, 51.6148741), (-0.2702901, 51.6122345), (-0.2609308, 51.6085575), (-0.25041599999999997, 51.6132943), (-0.24770799999999998, 51.615974), (-0.2406259, 51.6062018), (-0.23005830000000002, 51.598459999999996), (-0.217021, 51.591045799999996), (-0.20968879999999998, 51.5871385), (-0.21478490000000003, 51.5742634)]"
38,38,"[(-0.2328813, 51.5391614), (-0.2339545, 51.539961299999995), (-0.23796979999999998, 51.543608899999995), (-0.2367437, 51.5443534), (-0.22836289999999998, 51.5512485), (-0.22769450000000002, 51.563625), (-0.231462, 51.5696549), (-0.2301131, 51.5697872), (-0.22842889999999996, 51.5695342), (-0.2058652, 51.5682119), (-0.2002098, 51.5683), (-0.1994638, 51.567396200000005), (-0.1972369, 51.5635956), (-0.1970432, 51.5627336), (-0.2079206, 51.5512286), (-0.2189896, 51.546003999999996), (-0.2255047, 51.5412242), (-0.2328813, 51.5391614)]"
39,39,"[(-0.0433069, 51.6358843), (-0.0444939, 51.6357794), (-0.0481087, 51.6387424), (-0.053302800000000004, 51.6485244), (-0.0638739, 51.6592669), (-0.0638429, 51.659322499999995), (-0.0555638, 51.665227), (-0.039898800000000005, 51.6739765), (-0.0269028, 51.671294399999994), (-0.024271400000000002, 51.669587899999996), (-0.023475, 51.6683881), (-0.0433069, 51.6358843)]"
40,40,"[(-0.063148, 51.58099620000001), (-0.0661948, 51.5801936), (-0.0767178, 51.5809193), (-0.08170010000000001, 51.5850955), (-0.08300700000000001, 51.588705), (-0.07773010000000001, 51.60021079999999), (-0.0757548, 51.603299299999996), (-0.0683856, 51.608342900000004), (-0.058440599999999995, 51.6053352), (-0.053611900000000004, 51.593188), (-0.052242899999999995, 51.5873167), (-0.052559, 51.5867912), (-0.05822190000000001, 51.5833786), (-0.061329999999999996, 51.5816185), (-0.063148, 51.58099620000001)]"
41,41,"[(-0.0977912, 51.574301500000004), (-0.09940449999999999, 51.5739774), (-0.1064982, 51.5775555), (-0.1224462, 51.5988938), (-0.1182883, 51.6021844), (-0.11132760000000001, 51.6071156), (-0.1104849, 51.607308), (-0.10763930000000001, 51.604188), (-0.10533110000000001, 51.60148970000001), (-0.10353230000000001, 51.595352), (-0.1012548, 51.592361499999996), (-0.08698689999999999, 51.5899168), (-0.0824706, 51.5828595), (-0.082932, 51.5808104), (-0.09594960000000001, 51.574947200000004), (-0.0977912, 51.574301500000004)]"
42,42,"[(0.018109599999999997, 51.505573999999996), (0.0164465, 51.5060253), (0.008103399999999998, 51.514260799999995), (0.0036549, 51.5177982), (0.0020542, 51.521601000000004), (0.0109999, 51.534051299999994), (0.0230948, 51.5416544), (0.0250787, 51.5408365), (0.029996299999999997, 51.5307101), (0.0380906, 51.5247711), (0.0397162, 51.52113370000001), (0.031659, 51.5103316), (0.030566399999999997, 51.509399), (0.0254643, 51.507745), (0.018109599999999997, 51.505573999999996)]"
43,43,"[(-0.1626528, 51.4317002), (-0.1634557, 51.4322736), (-0.163669, 51.432478), (-0.1642713, 51.4368934), (-0.1587568, 51.4503405), (-0.1566894, 51.452324600000004), (-0.14591629999999997, 51.4572255), (-0.1442608, 51.4577709), (-0.1409318, 51.458513200000006), (-0.13940729999999998, 51.4572377), (-0.1393027, 51.4549098), (-0.1396223, 51.4529844), (-0.1436669, 51.444408), (-0.1466303, 51.439937), (-0.1573501, 51.4353584), (-0.1626528, 51.4317002)]"
44,44,"[(-0.1327134, 51.457601200000006), (-0.1352774, 51.457803000000006), (-0.14329760000000002, 51.4608052), (-0.14284520000000003, 51.4663154), (-0.128909, 51.467354799999995), (-0.12827850000000002, 51.4610284), (-0.1293208, 51.4599026), (-0.1327134, 51.457601200000006)]"
45,45,"[(-0.0341786, 51.544637200000004), (-0.0389478, 51.5442032), (-0.0444796, 51.544110100000005), (-0.052096800000000006, 51.5439886), (-0.062478399999999996, 51.5421022), (-0.0656335, 51.544101), (-0.067614, 51.5468859), (-0.0654568, 51.558171), (-0.0650222, 51.558448600000006), (-0.06430509999999999, 51.558617), (-0.062361900000000005, 51.5588699), (-0.0561884, 51.5595734), (-0.0399251, 51.558588), (-0.035864599999999996, 51.5555164), (-0.034437300000000004, 51.5514984), (-0.0341786, 51.544637200000004)]"
46,46,"[(0.0057059, 51.5352996), (-0.0060729, 51.5351864), (-0.0061438000000000005, 51.5352101), (-0.008166, 51.5368359), (-0.0151502, 51.54461320000001), (-0.0169541, 51.563367799999995), (-0.015492600000000002, 51.563779499999995), (-0.0150548, 51.56378370000001), (-0.008634200000000002, 51.559555700000004), (0.0087221, 51.555274100000005), (0.0112074, 51.5552925), (0.0152589, 51.5438948), (0.012715299999999999, 51.537255), (0.008131000000000001, 51.5356322), (0.0057059, 51.5352996)]"
47,47,"[(-0.0098295, 51.561133500000004), (-0.010174700000000002, 51.5612449), (-0.0146641, 51.5654471), (-0.0300009, 51.5757057), (-0.0354847, 51.58020870000001), (-0.0373334, 51.5833791), (-0.0274176, 51.5958185), (-0.0064232, 51.5966772), (-0.0018625, 51.5947325), (-0.0005927, 51.5917809), (0.0013135999999999998, 51.583391799999994), (0.0012338, 51.5793921), (-0.006983400000000001, 51.561207), (-0.007365699999999999, 51.5609904), (-0.0098295, 51.561133500000004)]"
48,48,"[(-0.0592937, 51.451347), (-0.07183099999999999, 51.451502000000005), (-0.07651960000000001, 51.452234600000004), (-0.08925319999999999, 51.461116499999996), (-0.0829291, 51.4668836), (-0.07994119999999999, 51.4643824), (-0.0756706, 51.4613917), (-0.0646486, 51.4562594), (-0.0594061, 51.4523859), (-0.0592937, 51.451347)]"
49,49,"[(-0.18117679999999997, 51.530415500000004), (-0.1965666, 51.5306539), (-0.20763520000000002, 51.530631400000004), (-0.2110937, 51.5318434), (-0.21603920000000001, 51.5412156), (-0.21566079999999999, 51.5445974), (-0.2150966, 51.54606810000001), (-0.2041599, 51.5483756), (-0.195801, 51.552081099999995), (-0.19535639999999999, 51.5521635), (-0.1925041, 51.5526874), (-0.1825705, 51.5392126), (-0.18067650000000002, 51.5350765), (-0.1796543, 51.5326914), (-0.18117679999999997, 51.530415500000004)]"
50,50,"[(-0.21634360000000002, 51.4980296), (-0.22429749999999998, 51.4961244), (-0.2329875, 51.4998554), (-0.23428800000000002, 51.5007696), (-0.23689369999999998, 51.5026055), (-0.24085170000000003, 51.5064496), (-0.23990279999999997, 51.506657700000005), (-0.23479760000000002, 51.50682929999999), (-0.2186469, 51.510854200000004), (-0.21383310000000003, 51.5111532), (-0.2057641, 51.5106354), (-0.2007307, 51.5023489), (-0.20257999999999998, 51.5006354), (-0.21634360000000002, 51.4980296)]"
51,51,"[(-0.2224431, 51.487764399999996), (-0.2308331, 51.489584), (-0.2412166, 51.490051), (-0.24182870000000004, 51.490230100000005), (-0.24402390000000002, 51.4918559), (-0.24472729999999998, 51.4958546), (-0.2419746, 51.5017005), (-0.2378429, 51.5008982), (-0.2189774, 51.496486100000006), (-0.21583270000000002, 51.494971), (-0.2143875, 51.4935524), (-0.21316529999999997, 51.492146999999996), (-0.21473179999999997, 51.491126), (-0.2224431, 51.487764399999996)]"
52,52,"[(-0.0133773, 51.47289129999999), (-0.0169822, 51.4722595), (-0.024042400000000002, 51.4721952), (-0.0272475, 51.4736211), (-0.0286207, 51.475163200000004), (-0.032067700000000005, 51.4811133), (-0.0316772, 51.48394879999999), (-0.0310824, 51.4856921), (-0.024331799999999997, 51.4854792), (-0.0087931, 51.4836752), (-0.0038946, 51.4846732), (0.0023953000000000004, 51.4867876), (0.0079303, 51.48908), (0.0082926, 51.489073), (0.011090799999999998, 51.4864856), (0.0091421, 51.4853357), (0.0011094000000000002, 51.4817754), (-0.0104506, 51.4755807), (-0.0133773, 51.47289129999999)]"
53,53,"[(-0.038410900000000005, 51.452806), (-0.039598400000000006, 51.45251210000001), (-0.040137900000000004, 51.45260510000001), (-0.0396136, 51.4615846), (-0.0436622, 51.473053), (-0.0437233, 51.473957500000004), (-0.042353800000000004, 51.477253999999995), (-0.036137, 51.478430700000004), (-0.0312026, 51.477785100000006), (-0.0212825, 51.4668311), (-0.038410900000000005, 51.452806)]"
54,54,"[(-0.19945829999999998, 51.4704759), (-0.2003441, 51.4696864), (-0.2024874, 51.4686171), (-0.20908289999999996, 51.4676355), (-0.2116254, 51.4678293), (-0.21246320000000002, 51.4682433), (-0.2145397, 51.472566799999996), (-0.22125589999999998, 51.4861066), (-0.2211518, 51.48673), (-0.2127118, 51.494298), (-0.2063725, 51.4991649), (-0.20408389999999998, 51.499164799999996), (-0.20141320000000001, 51.498356), (-0.1992807, 51.485858799999995), (-0.1932037, 51.4834485), (-0.1891475, 51.481181899999996), (-0.1886474, 51.4804409), (-0.19945829999999998, 51.4704759)]"
55,55,"[(-0.10718310000000002, 51.4617486), (-0.1131404, 51.459902500000005), (-0.11566689999999999, 51.4594376), (-0.1238465, 51.459247), (-0.1266272, 51.4595646), (-0.12729680000000002, 51.459897), (-0.1221637, 51.469609399999996), (-0.119631, 51.469632700000005), (-0.118145, 51.4695588), (-0.10793399999999999, 51.4633245), (-0.10718310000000002, 51.4617486)]"
56,56,"[(-0.0719652, 51.4607207), (-0.07352439999999999, 51.4615287), (-0.0823935, 51.470662100000006), (-0.08244739999999999, 51.4710515), (-0.08232460000000001, 51.4725823), (-0.080229, 51.481435), (-0.07030560000000001, 51.4872359), (-0.06718260000000001, 51.4871032), (-0.06611460000000001, 51.48701320000001), (-0.061875400000000004, 51.482572499999996), (-0.0571283, 51.4735476), (-0.061163699999999994, 51.4675166), (-0.0674277, 51.4620515), (-0.0719652, 51.4607207)]"
57,57,"[(-0.192227, 51.4881601), (-0.1989118, 51.49026), (-0.2005313, 51.4911721), (-0.2021071, 51.492605700000006), (-0.2021695, 51.4936153), (-0.2009962, 51.49854620000001), (-0.2001619, 51.49987670000001), (-0.1939014, 51.5047534), (-0.1925308, 51.505009), (-0.18872429999999998, 51.503582200000004), (-0.1792866, 51.5029451), (-0.17269489999999998, 51.5055434), (-0.1680877, 51.501341100000005), (-0.1682068, 51.4997752), (-0.17174389999999998, 51.4949875), (-0.1738864, 51.49337379999999), (-0.1793325, 51.490783799999996), (-0.192227, 51.4881601)]"
58,58,"[(-0.1509203, 51.4965583), (-0.1516752, 51.4958709), (-0.161379, 51.4968955), (-0.1703325, 51.4958606), (-0.1704741, 51.49615670000001), (-0.16989849999999998, 51.497816), (-0.1665367, 51.5001798), (-0.162581, 51.501755200000005), (-0.1592409, 51.503013200000005), (-0.1535256, 51.50312589999999), (-0.151764, 51.501715000000004), (-0.151113, 51.499271), (-0.1509203, 51.4965583)]"
59,59,"[(-0.0918684, 51.4695406), (-0.0945168, 51.4687163), (-0.09643689999999999, 51.4684827), (-0.0992477, 51.4683613), (-0.1039636, 51.4790586), (-0.1031872, 51.48442429999999), (-0.10059069999999999, 51.4837622), (-0.09457080000000001, 51.4811141), (-0.0849405, 51.4731991), (-0.08453830000000001, 51.4726896), (-0.0918684, 51.4695406)]"
60,60,"[(-0.094385, 51.482393), (-0.094703, 51.482353), (-0.1048395, 51.486459100000005), (-0.1178126, 51.493411), (-0.1210866, 51.4947706), (-0.12122939999999999, 51.4950281), (-0.11971019999999999, 51.5023362), (-0.1182375, 51.5055477), (-0.11570019999999999, 51.5072244), (-0.1139562, 51.507552600000004), (-0.1086296, 51.5083978), (-0.10692919999999999, 51.508594099999996), (-0.1047904, 51.5086201), (-0.1008446, 51.508492499999996), (-0.096, 51.50820220000001), (-0.08143810000000001, 51.506027), (-0.07297639999999998, 51.5034875), (-0.0643476, 51.5002596), (-0.0653648, 51.4964185), (-0.065873, 51.4954065), (-0.07512410000000001, 51.49132120000001), (-0.0913995, 51.4857771), (-0.09415, 51.48243), (-0.094385, 51.482393)]"
61,61,"[(-0.1035387, 51.4736932), (-0.1060837, 51.4736842), (-0.11809189999999999, 51.4759924), (-0.1211752, 51.478153000000006), (-0.1265066, 51.4847597), (-0.1269221, 51.485552), (-0.1222468, 51.4930696), (-0.1215347, 51.4933405), (-0.10999819999999999, 51.491558000000005), (-0.107454, 51.487351000000004), (-0.10259739999999999, 51.4742325), (-0.1035387, 51.4736932)]"
62,62,"[(-0.1845156, 51.433296899999995), (-0.1850128, 51.432818), (-0.1858973, 51.4332912), (-0.19086689999999998, 51.4422852), (-0.1990432, 51.45680120000001), (-0.1983407, 51.4577348), (-0.19758, 51.458104999999996), (-0.1810215, 51.4625408), (-0.1746583, 51.4631499), (-0.1731152, 51.4620289), (-0.1845156, 51.433296899999995)]"
63,63,"[(-0.16363529999999998, 51.4537131), (-0.163947, 51.453672499999996), (-0.1905231, 51.458630600000006), (-0.1913228, 51.458890600000004), (-0.1926588, 51.46147379999999), (-0.1904527, 51.462891), (-0.1775418, 51.4711734), (-0.1695391, 51.4726434), (-0.1655468, 51.473341999999995), (-0.15974449999999998, 51.4738696), (-0.1466444, 51.467024), (-0.16363529999999998, 51.4537131)]"
64,64,"[(-0.0911915, 51.5424693), (-0.0915373, 51.5426032), (-0.1014163, 51.549812200000005), (-0.09959, 51.551447100000004), (-0.0878287, 51.5609967), (-0.0750203, 51.5672455), (-0.0733791, 51.5676472), (-0.0717011, 51.5680244), (-0.0675613, 51.5651027), (-0.069645, 51.5531514), (-0.0682069, 51.545030499999996), (-0.06970010000000001, 51.5442178), (-0.0759783, 51.540842), (-0.0762814, 51.5407066), (-0.0855008, 51.54485379999999), (-0.0911915, 51.5424693)]"
65,65,"[(-0.1764165, 51.4817187), (-0.17763510000000002, 51.4814095), (-0.18124300000000002, 51.4815862), (-0.177507, 51.490545399999995), (-0.16860079999999997, 51.4945157), (-0.1673002, 51.4946658), (-0.15653570000000003, 51.4946852), (-0.156326, 51.4925144), (-0.1565299, 51.4922614), (-0.1587499, 51.4905898), (-0.1713841, 51.4845765), (-0.1764165, 51.4817187)]"
66,66,"[(-0.1491924, 51.4893116), (-0.15640510000000002, 51.4889305), (-0.1577004, 51.4898634), (-0.15733029999999998, 51.4907591), (-0.1525321, 51.4939485), (-0.1458793, 51.4981005), (-0.1425109, 51.49979329999999), (-0.13535160000000002, 51.5004011), (-0.1248414, 51.5030751), (-0.1240389, 51.5027311), (-0.12410850000000001, 51.5006217), (-0.1254513, 51.4929286), (-0.1256999, 51.4917508), (-0.13794220000000001, 51.4900283), (-0.1491924, 51.4893116)]"
67,67,"[(-0.0283156, 51.5201479), (-0.032346299999999995, 51.519274100000004), (-0.0408437, 51.5200466), (-0.055240599999999994, 51.5256907), (-0.057173400000000006, 51.527425), (-0.056591999999999996, 51.5306644), (-0.05626950000000001, 51.5311815), (-0.0452483, 51.5382333), (-0.0422944, 51.5391408), (-0.0339659, 51.5357666), (-0.0256819, 51.534625399999996), (-0.0149784, 51.5297128), (-0.0133422, 51.528830400000004), (-0.013084299999999998, 51.5270336), (-0.0130904, 51.526925), (-0.013527299999999999, 51.526503999999996), (-0.0283156, 51.5201479)]"
68,68,"[(-0.183437, 51.517148299999995), (-0.20760100000000004, 51.518996200000004), (-0.21410810000000002, 51.5205969), (-0.21507510000000002, 51.5214169), (-0.21774259999999998, 51.526294899999996), (-0.2186835, 51.5289563), (-0.21686100000000003, 51.531313), (-0.19916889999999998, 51.5297557), (-0.1877122, 51.52909879999999), (-0.1818877, 51.5283948), (-0.1817063, 51.5280256), (-0.180204, 51.5219317), (-0.183437, 51.517148299999995)]"
69,69,"[(-0.10355039999999999, 51.5635355), (-0.10757850000000001, 51.5621348), (-0.11678800000000002, 51.567064), (-0.11816099999999999, 51.571433899999995), (-0.11712850000000001, 51.5713547), (-0.1145846, 51.5711104), (-0.1074712, 51.568577399999995), (-0.1005926, 51.5655515), (-0.09945989999999999, 51.5650413), (-0.10355039999999999, 51.5635355)]"
70,70,"[(-0.012934799999999998, 51.504178100000004), (-0.017391099999999996, 51.4997028), (-0.0277774, 51.505255), (-0.0279065, 51.5053636), (-0.0304265, 51.5075259), (-0.030443900000000003, 51.5079584), (-0.030423400000000003, 51.5082182), (-0.029682099999999996, 51.5087696), (-0.025998300000000002, 51.5105317), (-0.0230468, 51.5104206), (-0.012934799999999998, 51.504178100000004)]"
71,71,"[(-0.1945601, 51.5059125), (-0.1985971, 51.5061653), (-0.19900050000000002, 51.506251500000005), (-0.1999616, 51.5069738), (-0.2041749, 51.5126169), (-0.2070632, 51.5171863), (-0.2070551, 51.5181026), (-0.206686, 51.518308399999995), (-0.2052246, 51.5188345), (-0.1893737, 51.518534), (-0.1873602, 51.5184311), (-0.1794432, 51.511438899999995), (-0.1817194, 51.510482700000004), (-0.1945601, 51.5059125)]"
72,72,"[(-0.1376223, 51.5348183), (-0.1395095, 51.5345147), (-0.14647910000000003, 51.536050700000004), (-0.1545368, 51.544082200000005), (-0.15882870000000002, 51.5468668), (-0.15837320000000002, 51.547587), (-0.1442391, 51.5530716), (-0.14284960000000002, 51.5531055), (-0.1396355, 51.55297279999999), (-0.13934770000000002, 51.5528211), (-0.13794220000000001, 51.5415592), (-0.1376945, 51.5390807), (-0.13743729999999998, 51.536017), (-0.1374095, 51.5350074), (-0.1376223, 51.5348183)]"
73,73,"[(-0.10558920000000001, 51.547312), (-0.10568519999999999, 51.5472508), (-0.10848319999999999, 51.5479969), (-0.114469, 51.5509811), (-0.1222918, 51.557568700000004), (-0.1222892, 51.5599265), (-0.11944880000000001, 51.5646271), (-0.11616880000000002, 51.5639458), (-0.11578139999999998, 51.5636511), (-0.11506459999999999, 51.563011200000005), (-0.11443350000000001, 51.5624236), (-0.1115606, 51.55851989999999), (-0.1055731, 51.54776270000001), (-0.10558920000000001, 51.547312)]"
74,74,"[(-0.10560330000000001, 51.5274139), (-0.1070014, 51.527581700000006), (-0.1129093, 51.5306533), (-0.1149038, 51.5319347), (-0.1153778, 51.5322405), (-0.10536500000000001, 51.546631), (-0.1043376, 51.5470856), (-0.10054550000000001, 51.5463975), (-0.09424310000000001, 51.5411879), (-0.0940544, 51.5407599), (-0.10301880000000001, 51.529001799999996), (-0.10494819999999999, 51.5274676), (-0.10560330000000001, 51.5274139)]"
75,75,"[(-0.08436489999999999, 51.5221945), (-0.0845706, 51.522480200000004), (-0.086467, 51.5261091), (-0.08521770000000001, 51.5274658), (-0.0839566, 51.528282899999994), (-0.0801515, 51.530529200000004), (-0.0766539, 51.5317814), (-0.0761904, 51.5317345), (-0.0693155, 51.525910100000004), (-0.071543, 51.522074100000005), (-0.0783207, 51.522116), (-0.08436489999999999, 51.5221945)]"
76,76,"[(-0.07872749999999999, 51.5076664), (-0.0864456, 51.5088044), (-0.09956380000000001, 51.5113314), (-0.11322650000000001, 51.512377), (-0.1135526, 51.5127385), (-0.1138606, 51.513106), (-0.1114517, 51.51456820000001), (-0.090836, 51.525827899999996), (-0.0887762, 51.5272112), (-0.087469, 51.527426), (-0.07573830000000001, 51.5216795), (-0.0715084, 51.5214682), (-0.054807299999999996, 51.5206823), (-0.05455319999999999, 51.5203101), (-0.0607962, 51.512988299999996), (-0.0673337, 51.5095201), (-0.07872749999999999, 51.5076664)]"
77,77,"[(-0.1223057, 51.5233745), (-0.12499339999999999, 51.5226196), (-0.1307121, 51.5294603), (-0.1307643, 51.530064700000004), (-0.1303366, 51.5304636), (-0.1266573, 51.5338565), (-0.11894669999999999, 51.5338523), (-0.118647, 51.5337999), (-0.11796680000000001, 51.5306396), (-0.11814880000000001, 51.5284524), (-0.1223057, 51.5233745)]"
78,78,"[(-0.1008042, 51.516861600000006), (-0.1039223, 51.519064), (-0.10700530000000001, 51.523000399999994), (-0.10545009999999999, 51.523920000000004), (-0.1044424, 51.5242937), (-0.10312660000000001, 51.5245216), (-0.10245510000000002, 51.5245713), (-0.09820219999999999, 51.5241019), (-0.0964825, 51.5225406), (-0.0966801, 51.5197662), (-0.1008042, 51.516861600000006)]"
79,79,"[(-0.10135860000000001, 51.516127600000004), (-0.1024019, 51.5158593), (-0.1065493, 51.516150399999994), (-0.112509, 51.5173179), (-0.1152097, 51.5216027), (-0.11655530000000001, 51.5241041), (-0.116244, 51.524796), (-0.1085807, 51.522231299999994), (-0.106273, 51.52078), (-0.10521910000000001, 51.5199795), (-0.1013323, 51.51641970000001), (-0.10135860000000001, 51.516127600000004)]"
80,80,"[(-0.119621, 51.5159101), (-0.1210067, 51.5158441), (-0.1238296, 51.5170326), (-0.12466500000000001, 51.522102000000004), (-0.11903150000000001, 51.5230514), (-0.1156316, 51.5210789), (-0.1128443, 51.5185191), (-0.11263980000000001, 51.5181409), (-0.1132057, 51.517804), (-0.1186192, 51.5159855), (-0.119621, 51.5159101)]"
81,81,"[(-0.1615074, 51.513896700000004), (-0.1761855, 51.5139189), (-0.17726170000000002, 51.5148059), (-0.17795360000000002, 51.5165499), (-0.17542570000000002, 51.517891299999995), (-0.16897920000000002, 51.5195321), (-0.1600623, 51.5160759), (-0.1590039, 51.5149382), (-0.1615074, 51.513896700000004)]"
82,82,"[(-0.138027, 51.506603000000005), (-0.1430086, 51.506451899999995), (-0.14350639999999998, 51.5066105), (-0.1575559, 51.5122489), (-0.160081, 51.513453000000005), (-0.160212, 51.513515999999996), (-0.160598, 51.513771999999996), (-0.1607376, 51.5138662), (-0.1601197, 51.523221299999996), (-0.15859389999999998, 51.5239775), (-0.13848870000000002, 51.524536), (-0.1250999, 51.520607299999995), (-0.1241296, 51.5202734), (-0.11587280000000001, 51.515279799999995), (-0.1156576, 51.5146494), (-0.1158057, 51.5144028), (-0.117442, 51.5116948), (-0.1218744, 51.506825299999996), (-0.1238147, 51.506130999999996), (-0.1262931, 51.50577929999999), (-0.138027, 51.506603000000005)]"