Codes,Ward names,Borough,Hectares,Square Kilometres,Population 2015,Population per hectare 2015,Population per square kilometre 2015,Census population (2011),Population per hectare 2011
E09000001,City of London,City of London,315.1,3,8210.798436,26,2605.775448,7375,23.40526817
E05000026,Abbey,Barking and Dagenham,127.9,1,14062,110,10994.52697,12786,99.96872557
E05000027,Alibon,Barking and Dagenham,136.1,1,10965,81,8056.576047,10385,76.3041881
E05000028,Becontree,Barking and Dagenham,128.4,1,14132,110,11006.23053,11545,89.91433022
E05000029,Chadwell Heath,Barking and Dagenham,338,3,10443,31,3089.64497,10021,29.64792899
E05000030,Eastbrook,Barking and Dagenham,345.4,3,10768,31,3117.544876,10506,30.41690793
E05000031,Eastbury,Barking and Dagenham,144.5,1,11960,83,8276.816609,11624,80.44290657
E05000032,Gascoigne,Barking and Dagenham,113.4,1,14166,125,12492.06349,12452,109.8059965
E05000033,Goresbrook,Barking and Dagenham,128,1,11974,94,9354.6875,11267,88.0234375
E05000034,Heath,Barking and Dagenham,200.5,2,11691,58,5830.922693,10786,53.79551122
E05000035,Longbridge,Barking and Dagenham,164,2,11838,72,7218.292683,11478,69.98780488
E05000036,Mayesbrook,Barking and Dagenham,185.1,2,11015,60,5950.837385,10342,55.87250135
E05000037,Parsloes,Barking and Dagenham,124.3,1,10245,82,8242.156074,9839,79.15526951
E05000038,River,Barking and Dagenham,355.2,4,11798,33,3321.509009,10923,30.75168919
E05000039,Thames,Barking and Dagenham,788.4,8,14994,19,1901.826484,10728,13.60730594
E05000040,Valence,Barking and Dagenham,129.3,1,11128,86,8606.341841,9867,76.31090487
E05000041,Village,Barking and Dagenham,214,2,11223,52,5244.392523,10787,50.40654206
E05000042,Whalebone,Barking and Dagenham,155.4,2,11221,72,7220.720721,10575,68.05019305
E05000043,Brunswick Park,Barnet,317.4,3,17185,54,5414.303718,16394,51.65091367
E05000044,Burnt Oak,Barnet,206.4,2,19433,94,9415.213178,18217,88.26065891
E05000045,Childs Hill,Barnet,308.9,3,21638,70,7004.85594,20049,64.90449984
E05000046,Colindale,Barnet,264.2,3,20093,76,7605.223316,17098,64.71612415
E05000047,Coppetts,Barnet,272,3,18165,67,6678.308824,17250,63.41911765
E05000048,East Barnet,Barnet,375.2,4,17129,46,4565.298507,16137,43.00906183
E05000049,East Finchley,Barnet,252.4,3,17213,68,6819.730586,15989,63.34786054
E05000050,Edgware,Barnet,556,6,17982,32,3234.172662,16728,30.08633094
E05000051,Finchley Church End,Barnet,270.9,3,16768,62,6189.737911,15715,58.01033592
E05000052,Garden Suburb,Barnet,473.1,5,16978,36,3588.670471,15929,33.6694145
E05000053,Golders Green,Barnet,297.8,3,21557,72,7238.750839,18818,63.19006044
E05000054,Hale,Barnet,542.2,5,18640,34,3437.845813,17437,32.15971966
E05000055,Hendon,Barnet,284,3,19888,70,7002.816901,18472,65.04225352
E05000056,High Barnet,Barnet,830.9,8,15999,19,1925.502467,15307,18.4221928
E05000057,Mill Hill,Barnet,938.7,9,19686,21,2097.155641,18451,19.65590711
E05000058,Oakleigh,Barnet,331.7,3,16713,50,5038.589087,15811,47.66656617
E05000059,Totteridge,Barnet,876.8,9,16381,19,1868.270985,15159,17.28900547
E05000060,Underhill,Barnet,455.2,5,16531,36,3631.59051,15915,34.96265378
E05000061,West Finchley,Barnet,216.1,2,17666,82,8174.919019,16533,76.50624711
E05000062,West Hendon,Barnet,342.6,3,18623,54,5435.785172,17402,50.79392878
E05000063,Woodhouse,Barnet,261.2,3,18768,72,7185.298622,17575,67.2856049
E05000064,Barnehurst,Bexley,287,3,10608,37,3696.167247,10418,36.29965157
E05000065,Belvedere,Bexley,316.1,3,12851,41,4065.485606,11890,37.6146789
E05000066,Blackfen and Lamorbey,Bexley,168.7,2,10801,64,6402.489627,10616,62.92827504
E05000067,Blendon and Penhill,Bexley,209.8,2,10976,52,5231.64919,10910,52.00190658
E05000068,Brampton,Bexley,197.3,2,10690,54,5418.144957,10546,53.45159655
E05000069,Christchurch,Bexley,254.8,3,11231,44,4407.770801,10965,43.03375196
E05000070,Colyers,Bexley,164.1,2,11451,70,6978.062157,11128,67.81230957
E05000071,Crayford,Bexley,396.8,4,12986,33,3272.681452,11226,28.29133065
E05000072,Cray Meadows,Bexley,718.4,7,11675,16,1625.139198,11207,15.59994432
E05000073,Danson Park,Bexley,271.6,3,11058,41,4071.428571,10864,40
E05000074,East Wickham,Bexley,216.9,2,11051,51,5094.974643,10858,50.05993545
E05000075,Erith,Bexley,475.6,5,12826,27,2696.804037,12053,25.34272498
E05000076,Falconwood and Welling,Bexley,166.5,2,10862,65,6523.723724,10800,64.86486486
E05000077,Lesnes Abbey,Bexley,237,2,11572,49,4882.700422,11346,47.87341772
E05000078,Longlands,Bexley,259.2,3,10534,41,4064.04321,10442,40.28549383
E05000079,North End,Bexley,568.9,6,11882,21,2088.59202,11566,20.3304623
E05000080,Northumberland Heath,Bexley,176.3,2,10720,61,6080.544526,10598,60.11344299
E05000081,St. Mary's,Bexley,442.9,4,11174,25,2522.917137,10491,23.68706254
E05000082,St. Michael's,Bexley,144.4,1,11331,78,7846.952909,11135,77.11218837
E05000083,Sidcup,Bexley,270.2,3,11580,43,4285.714286,10844,40.13323464
E05000084,Thamesmead East,Bexley,483.7,5,12718,26,2629.315692,12094,25.0031011
E05000085,Alperton,Brent,205.8,2,15475,75,7519.436346,14017,68.10981535
E05000086,Barnhill,Brent,297.5,3,16556,56,5565.042017,15772,53.01512605
E05000087,Brondesbury Park,Brent,172.2,2,13445,78,7807.781649,13023,75.6271777
E05000088,Dollis Hill,Brent,229.8,2,14441,63,6284.160139,13425,58.42036554
E05000089,Dudden Hill,Brent,168.2,2,15801,94,9394.173603,15059,89.53032105
E05000090,Fryent,Brent,265.8,3,13850,52,5210.684725,13445,50.58314522
E05000091,Harlesden,Brent,111.5,1,16860,151,15121.07623,17162,153.9192825
E05000092,Kensal Green,Brent,112.1,1,15249,136,13603.03301,14915,133.0508475
E05000093,Kenton,Brent,225,2,12402,55,5512,12133,53.92444444
E05000094,Kilburn,Brent,94.4,1,18598,197,19701.27119,16989,179.9682203
E05000095,Mapesbury,Brent,139.4,1,16225,116,11639.16786,15529,111.3988522
E05000096,Northwick Park,Brent,267.3,3,12935,48,4839.132061,12811,47.92742237
E05000097,Preston,Brent,239.5,2,15765,66,6582.463466,15474,64.60960334
E05000098,Queens Park,Brent,148.9,1,15881,107,10665.54735,15281,102.6259234
E05000099,Queensbury,Brent,205,2,15983,78,7796.585366,15155,73.92682927
E05000100,Stonebridge,Brent,405.5,4,17305,43,4267.5709,16903,41.68434032
E05000101,Sudbury,Brent,213,2,15441,72,7249.295775,14950,70.18779343
E05000102,Tokyngton,Brent,276.4,3,17098,62,6185.962373,15105,54.64905933
E05000103,Welsh Harp,Brent,231.2,2,14113,61,6104.238754,13753,59.48529412
E05000104,Wembley Central,Brent,160.3,2,15707,98,9798.502807,14727,91.87149095
E05000105,Willesden Green,Brent,154.7,2,16136,104,10430.51067,15587,100.7563025
E05000106,Bickley,Bromley,486.9,5,15768,32,3238.44732,15098,31.00842062
E05000107,Biggin Hill,Bromley,828.2,8,10518,13,1269.983096,9951,12.01521372
E05000108,Bromley Common and Keston,Bromley,832.1,8,17014,20,2044.706165,15113,18.16248047
E05000109,Bromley Town,Bromley,371.8,4,18538,50,4986.013986,16826,45.25551372
E05000110,Chelsfield and Pratts Bottom,Bromley,1256.2,13,14997,12,1193.838561,14507,11.54832033
E05000111,Chislehurst,Bromley,1044.9,10,15910,15,1522.633745,14831,14.19370275
E05000112,Clock House,Bromley,226.6,2,16412,72,7242.718447,15560,68.66725508
E05000113,Copers Cope,Bromley,328.6,3,16242,49,4942.787584,15392,46.84114425
E05000114,Cray Valley East,Bromley,1328.8,13,16109,12,1212.296809,15445,11.62326911
E05000115,Cray Valley West,Bromley,393.8,4,17193,44,4365.921788,16769,42.5825292
E05000116,Crystal Palace,Bromley,229.3,2,13015,57,5675.970345,12255,53.44526821
E05000117,Darwin,Bromley,2903.5,29,5461,1.880833477,188.0833477,5110,1.759944894
E05000118,Farnborough and Crofton,Bromley,699.5,7,14941,21,2135.954253,14632,20.91779843
E05000119,Hayes and Coney Hall,Bromley,1081.7,11,16391,15,1515.299991,15906,14.7046316
E05000120,Kelsey and Eden Park,Bromley,520,5,16450,32,3163.461538,15892,30.56153846
E05000121,Mottingham and Chislehurst North,Bromley,244.9,2,10452,43,4267.864434,9987,40.77991017
E05000122,Orpington,Bromley,425.6,4,15633,37,3673.167293,15311,35.97509398
E05000123,Penge and Cator,Bromley,295.7,3,18108,61,6123.774095,17326,58.59316875
E05000124,Petts Wood and Knoll,Bromley,430.2,4,14147,33,3288.470479,13651,31.73175267
E05000125,Plaistow and Sundridge,Bromley,399.3,4,15910,40,3984.472827,15122,37.87127473
E05000126,Shortlands,Bromley,245.6,2,10240,42,4169.381107,9824,40
E05000127,West Wickham,Bromley,441.3,4,15126,34,3427.600272,14884,33.72762293
E05000128,Belsize,Camden,78,1,13689,176,17550,12702,162.8461538
E05000129,Bloomsbury,Camden,102.1,1,11647,114,11407.44368,10892,106.6797258
E05000130,Camden Town with Primrose Hill,Camden,116.6,1,13213,113,11331.90395,12613,108.1732419
E05000131,Cantelowes,Camden,75.8,1,12713,168,16771.76781,11925,157.3218997
E05000132,Fortune Green,Camden,100.5,1,12823,128,12759.20398,11740,116.8159204
E05000133,Frognal and Fitzjohns,Camden,153.3,2,12795,83,8346.379648,11986,78.1865623
E05000134,Gospel Oak,Camden,69.1,1,11929,173,17263.3864,11264,163.0101302
E05000135,Hampstead Town,Camden,245,2,12033,49,4911.428571,11270,46
E05000136,Haverstock,Camden,73.2,1,13302,182,18172.13115,12364,168.9071038
E05000137,Highgate,Camden,324.2,3,11540,36,3559.531154,10955,33.79086983
E05000138,Holborn and Covent Garden,Camden,120.1,1,13931,116,11599.50042,13023,108.4346378
E05000139,Kentish Town,Camden,102.8,1,14295,139,13905.64202,13417,130.5155642
E05000140,Kilburn,Camden,68.6,1,13099,191,19094.75219,12038,175.4810496
E05000141,King's Cross,Camden,61,1,12338,202,20226.22951,11843,194.147541
E05000142,Regent's Park,Camden,135,1,14797,110,10960.74074,13528,100.2074074
E05000143,St. Pancras and Somers Town,Camden,140,1,16268,116,11620,13818,98.7
E05000144,Swiss Cottage,Camden,125.7,1,13984,111,11124.90056,12900,102.6252983
E05000145,West Hampstead,Camden,88.7,1,12945,146,14594.13754,12060,135.9639233
E05000146,Addiscombe,Croydon,159.5,2,17635,111,11056.42633,16883,105.8495298
E05000147,Ashburton,Croydon,271.4,3,14970,55,5515.843773,14721,54.24097273
E05000148,Bensham Manor,Croydon,144.6,1,17206,119,11899.03181,16201,112.0401107
E05000149,Broad Green,Croydon,266.7,3,19761,74,7409.448819,18652,69.93625797
E05000150,Coulsdon East,Croydon,774.3,8,12672,16,1636.574971,12244,15.81299238
E05000151,Coulsdon West,Croydon,499.5,5,13884,28,2779.57958,13449,26.92492492
E05000152,Croham,Croydon,352.3,4,16892,48,4794.777179,15790,44.81975589
E05000153,Fairfield,Croydon,376.5,4,18938,50,5030.01328,16569,44.00796813
E05000154,Fieldway,Croydon,148.5,1,11833,80,7968.350168,11479,77.2996633
E05000155,Heathfield,Croydon,871,9,13590,16,1560.275545,13213,15.16991963
E05000156,Kenley,Croydon,646,6,15718,24,2433.126935,14966,23.16718266
E05000157,New Addington,Croydon,242.8,2,11121,46,4580.313015,10801,44.48517298
E05000158,Norbury,Croydon,252,3,17330,69,6876.984127,16476,65.38095238
E05000159,Purley,Croydon,417.3,4,15471,37,3707.404745,14607,35.00359454
E05000160,Sanderstead,Croydon,634.6,6,13133,21,2069.492594,12777,20.13394264
E05000161,Selhurst,Croydon,227.7,2,18794,83,8253.842776,18087,79.43346509
E05000162,Selsdon and Ballards,Croydon,640.6,6,12069,19,1884.014986,11719,18.29378707
E05000163,Shirley,Croydon,280,3,14694,52,5247.857143,14296,51.05714286
E05000164,South Norwood,Croydon,238.1,2,17143,72,7199.916002,16518,69.37421252
E05000165,Thornton Heath,Croydon,168.1,2,17350,103,10321.23736,16539,98.38786437
E05000166,Upper Norwood,Croydon,262,3,16921,65,6458.396947,16082,61.38167939
E05000167,Waddon,Croydon,364.4,4,18000,49,4939.626784,17077,46.86333699
E05000168,West Thornton,Croydon,197.4,2,18397,93,9319.655522,17489,88.59675785
E05000169,Woodside,Croydon,216.7,2,17247,80,7958.929395,16743,77.26349792
E05000170,Acton Central,Ealing,177.5,2,15948,90,8984.788732,15427,86.91267606
E05000171,Cleveland,Ealing,223.2,2,14863,67,6659.050179,14558,65.22401434
E05000172,Dormers Wells,Ealing,225.9,2,14097,62,6240.371846,13910,61.57591855
E05000173,Ealing Broadway,Ealing,185.7,2,15058,81,8108.777598,14029,75.54658051
E05000174,Ealing Common,Ealing,214,2,14227,66,6648.130841,14019,65.50934579
E05000175,East Acton,Ealing,427.2,4,19905,47,4659.410112,18706,43.78745318
E05000176,Elthorne,Ealing,200,2,15933,80,7966.5,14539,72.695
E05000177,Greenford Broadway,Ealing,252.2,3,18049,72,7156.621729,17625,69.8850119
E05000178,Greenford Green,Ealing,338.1,3,14631,43,4327.417924,14349,42.44010648
E05000179,Hanger Hill,Ealing,327.4,3,16009,49,4889.737324,15561,47.52901649
E05000180,Hobbayne,Ealing,220.8,2,14625,66,6623.641304,14229,64.44293478
E05000181,Lady Margaret,Ealing,153.9,2,13943,91,9059.779077,13897,90.29889539
E05000182,Northfield,Ealing,153.5,2,13783,90,8979.153094,13517,88.05863192
E05000183,North Greenford,Ealing,324.8,3,14906,46,4589.285714,14713,45.29864532
E05000184,Northolt Mandeville,Ealing,275.2,3,15466,56,5619.912791,15183,55.17078488
E05000185,Northolt West End,Ealing,354.8,4,15097,43,4255.073281,15121,42.61837655
E05000186,Norwood Green,Ealing,379.4,4,14038,37,3700.052715,14032,36.9847127
E05000187,Perivale,Ealing,336.5,3,15656,47,4652.600297,15339,45.58395245
E05000188,South Acton,Ealing,171.9,2,16447,96,9567.77196,14873,86.52123328
E05000189,Southall Broadway,Ealing,162.2,2,14311,88,8823.057953,13439,82.85450062
E05000190,Southall Green,Ealing,158.5,2,15457,98,9752.050473,14579,91.98107256
E05000191,Southfield,Ealing,143.5,1,13703,95,9549.12892,13474,93.89547038
E05000192,Walpole,Ealing,146.6,1,13586,93,9267.39427,13330,90.92769441
E05000193,Bowes,Enfield,148.5,1,14824,100,9982.491582,14051,94.61952862
E05000194,Bush Hill Park,Enfield,252.6,3,14330,57,5673.000792,13923,55.11876485
E05000195,Chase,Enfield,1694.4,17,14256,8.413597734,841.3597734,13762,8.122049103
E05000196,Cockfosters,Enfield,1040.7,10,14288,14,1372.922072,13788,13.24877486
E05000197,Edmonton Green,Enfield,312.9,3,18709,60,5979.22659,17949,57.36337488
E05000198,Enfield Highway,Enfield,463.9,5,16710,36,3602.069412,16027,34.54839405
E05000199,Enfield Lock,Enfield,325.1,3,18177,56,5591.202707,16469,50.658259
E05000200,Grange,Enfield,328.6,3,13250,40,4032.258065,12709,38.67620207
E05000201,Haselbury,Enfield,179.7,2,17132,95,9533.667223,16263,90.50083472
E05000202,Highlands,Enfield,508.8,5,13633,27,2679.441824,13006,25.56210692
E05000203,Jubilee,Enfield,391.8,4,14840,38,3787.646759,14355,36.63859112
E05000204,Lower Edmonton,Enfield,217.5,2,17371,80,7986.666667,16531,76.0045977
E05000205,Palmers Green,Enfield,194.1,2,15883,82,8182.895415,15162,78.11437403
E05000206,Ponders End,Enfield,354.5,4,16786,47,4735.119887,15664,44.18617772
E05000207,Southbury,Enfield,286.4,3,15789,55,5512.918994,14506,50.64944134
E05000208,Southgate,Enfield,269.1,3,15413,57,5727.610554,14454,53.71237458
E05000209,Southgate Green,Enfield,261.7,3,14494,55,5538.402751,13787,52.68246083
E05000210,Town,Enfield,223.3,2,15527,70,6953.425884,14906,66.75324675
E05000211,Turkey Street,Enfield,225.7,2,15183,67,6727.071334,14377,63.69960124
E05000212,Upper Edmonton,Enfield,265.1,3,18569,70,7004.526594,17374,65.53753301
E05000213,Winchmore Hill,Enfield,275.7,3,13895,50,5039.89844,13403,48.61443598
E05000214,Abbey Wood,Greenwich,265.3,3,16251,61,6125.518281,15704,59.193366
E05000215,Blackheath Westcombe,Greenwich,213.8,2,13461,63,6296.071094,12875,60.21983162
E05000216,Charlton,Greenwich,203.4,2,15041,74,7394.788594,14385,70.72271386
E05000217,Coldharbour and New Eltham,Greenwich,254.9,3,13326,52,5227.932523,13062,51.24362495
E05000218,Eltham North,Greenwich,255,3,12700,50,4980.392157,12519,49.09411765
E05000219,Eltham South,Greenwich,462.7,5,12640,27,2731.791658,12541,27.10395505
E05000220,Eltham West,Greenwich,242.6,2,11261,46,4641.797197,10399,42.86479802
E05000221,Glyndon,Greenwich,170.4,2,18948,111,11119.71831,18171,106.6373239
E05000222,Greenwich West,Greenwich,279.7,3,18477,66,6606.006435,16527,59.0883089
E05000223,Kidbrooke with Hornfair,Greenwich,237.8,2,14679,62,6172.834315,14300,60.13456686
E05000224,Middle Park and Sutcliffe,Greenwich,328.4,3,13537,41,4122.107186,13505,41.12362972
E05000225,Peninsula,Greenwich,448.2,4,19968,45,4455.153949,14051,31.34984382
E05000226,Plumstead,Greenwich,235.1,2,17354,74,7381.53977,16736,71.18672905
E05000227,Shooters Hill,Greenwich,378,4,13624,36,3604.232804,13433,35.53703704
E05000228,Thamesmead Moorings,Greenwich,481.1,5,21103,44,4386.406153,19730,41.01018499
E05000229,Woolwich Common,Greenwich,262,3,18920,72,7221.374046,17499,66.79007634
E05000230,Woolwich Riverside,Greenwich,319.5,3,21711,68,6795.305164,19120,59.84350548
E05000231,Brownswood,Hackney,84.1,1,12076,144,14359.09631,11091,131.8787158
E05000232,Cazenove,Hackney,68.4,1,14444,211,21116.95906,13392,195.7894737
E05000233,Chatham,Hackney,90.9,1,14201,156,15622.66227,13232,145.5665567
E05000234,Clissold,Hackney,70.2,1,13039,186,18574.07407,12212,173.960114
E05000235,Dalston,Hackney,92.7,1,15857,171,17105.71737,14727,158.8673139
E05000236,De Beauvoir,Hackney,88.9,1,15018,169,16893.13836,13643,153.4645669
E05000237,Hackney Central,Hackney,78,1,13309,171,17062.82051,12548,160.8717949
E05000238,Hackney Downs,Hackney,101.8,1,13611,134,13370.33399,12921,126.9253438
E05000239,Haggerston,Hackney,124.3,1,14830,119,11930.81255,13904,111.8584071
E05000240,Hoxton,Hackney,83.9,1,16274,194,19396.90107,15174,180.8581645
E05000241,King's Park,Hackney,181.4,2,12000,66,6615.214994,11098,61.17971334
E05000242,Leabridge,Hackney,106.4,1,15125,142,14215.22556,14039,131.9454887
E05000243,Lordship,Hackney,119.1,1,13348,112,11207.38875,12280,103.1066331
E05000244,New River,Hackney,98.3,1,14189,144,14434.38454,12551,127.6805697
E05000245,Queensbridge,Hackney,108,1,14622,135,13538.88889,13670,126.5740741
E05000246,Springfield,Hackney,95.2,1,13405,141,14080.88235,12378,130.0210084
E05000247,Stoke Newington Central,Hackney,71.2,1,13343,187,18740.16854,12445,174.7893258
