Ward_name,Old_code,New_code,Population__2015,In_employment_(1664)__2011,Number_of_jobs_in_area__2013,Median_House_Price_(£)__2014,Median_Household_income_(£)_estimate_(2012/13),Average_Public_Transport_Accessibility_score__2014
Hackney__Wick,00AMGU,E05000249,12350.00,4949.00,n/a,340000.00,32890.00,3.90
Hammersmith_and_Fulham__Addison,00ANGA,E05000250,11650.00,6873.00,5200.00,572500.00,43970.00,6.50
Hammersmith_and_Fulham__Askew,00ANGB,E05000251,14300.00,7621.00,2000.00,500000.00,38450.00,3.60
Hammersmith_and_Fulham__Avonmore_and_Brook_Green,00ANGC,E05000252,12700.00,6573.00,11300.00,618250.00,43350.00,6.00
Hammersmith_and_Fulham__College_Park_and_Old_Oak,00ANGD,E05000253,10700.00,4075.00,15400.00,458000.00,30890.00,4.90
Hammersmith_and_Fulham__Fulham_Broadway,00ANGE,E05000254,11550.00,6064.00,4300.00,805000.00,42130.00,5.40
Hammersmith_and_Fulham__Fulham_Reach,00ANGF,E05000255,11800.00,6331.00,7200.00,786250.00,42010.00,4.20
Hammersmith_and_Fulham__Hammersmith_Broadway,00ANGG,E05000256,12250.00,6161.00,31300.00,741250.00,39500.00,6.00
Hammersmith_and_Fulham__Munster,00ANGH,E05000257,11150.00,6462.00,2200.00,745000.00,50240.00,3.70
Hammersmith_and_Fulham__North_End,00ANGJ,E05000258,12650.00,6805.00,4900.00,558000.00,39510.00,5.20
Hammersmith_and_Fulham__Palace_Riverside,00ANGK,E05000259,7600.00,3720.00,3500.00,950000.00,53330.00,3.70
Hammersmith_and_Fulham__Parsons_Green_and_Walham,00ANGL,E05000260,10850.00,5716.00,7400.00,1330000.00,55720.00,4.70
Hammersmith_and_Fulham__Ravenscourt_Park,00ANGM,E05000261,11000.00,5531.00,4800.00,704000.00,45510.00,4.00
Hammersmith_and_Fulham__Sands_End,00ANGN,E05000262,13550.00,6518.00,7000.00,827750.00,44170.00,3.40
Hammersmith_and_Fulham__Shepherd's_Bush_Green,00ANGP,E05000263,12950.00,6797.00,16100.00,440000.00,36430.00,5.60
Hammersmith_and_Fulham__Town,00ANGQ,E05000264,11350.00,6512.00,7000.00,690000.00,47940.00,4.60
Hammersmith_and_Fulham__Wormholt_and_White_City,00ANGR,E05000265,13750.00,5694.00,1000.00,427500.00,31860.00,3.20
Haringey__Alexandra,00APGA,E05000266,12050.00,6189.00,1800.00,625000.00,51450.00,3.30
Haringey__Bounds_Green,00APGB,E05000267,14400.00,6822.00,2300.00,332350.00,34550.00,4.90
Haringey__Bruce_Grove,00APGC,E05000268,15050.00,6192.00,2000.00,325000.00,30340.00,4.50
Haringey__Crouch_End,00APGD,E05000269,12800.00,7537.00,3700.00,563750.00,52070.00,3.40
Haringey__Fortis_Green,00APGE,E05000270,13000.00,6423.00,2700.00,465000.00,49950.00,3.10
Haringey__Harringay,00APGF,E05000271,14100.00,7404.00,2600.00,430000.00,37150.00,5.30
Haringey__Highgate,00APGG,E05000272,12100.00,6704.00,3300.00,732500.00,53710.00,4.00
Haringey__Hornsey,00APGH,E05000273,13100.00,6753.00,3300.00,419000.00,40260.00,3.40
Haringey__Muswell_Hill,00APGJ,E05000274,11050.00,5922.00,3100.00,820000.00,53910.00,3.20
Haringey__Noel_Park,00APGK,E05000275,14700.00,6382.00,6300.00,350000.00,30620.00,6.10
Haringey__Northumberland_Park,00APGL,E05000276,15150.00,4914.00,8200.00,252500.00,25090.00,4.10
Haringey__St._Ann's,00APGM,E05000277,16100.00,7038.00,2300.00,370000.00,32460.00,3.90
Haringey__Seven_Sisters,00APGN,E05000278,16650.00,6671.00,3400.00,372500.00,33500.00,4.70
Haringey__Stroud_Green,00APGP,E05000279,12250.00,6982.00,1400.00,477500.00,44780.00,4.60
Haringey__Tottenham_Green,00APGQ,E05000280,15900.00,6379.00,4600.00,326500.00,28920.00,5.80
Haringey__Tottenham_Hale,00APGR,E05000281,17300.00,5816.00,6000.00,251500.00,27340.00,4.70
Haringey__West_Green,00APGS,E05000282,14050.00,5989.00,2100.00,350000.00,31110.00,4.10
Haringey__White_Hart_Lane,00APGT,E05000283,13950.00,4726.00,1200.00,267000.00,27010.00,3.30
Haringey__Woodside,00APGU,E05000284,15400.00,6992.00,4800.00,345000.00,32010.00,4.70
Harrow__Belmont,00AQFY,E05000285,11650.00,5355.00,1500.00,435000.00,42380.00,2.00
Harrow__Canons,00AQFZ,E05000286,13500.00,5566.00,5200.00,402500.00,39890.00,2.70
Harrow__Edgware,00AQGA,E05000287,12050.00,5458.00,2800.00,357500.00,33600.00,2.90
Harrow__Greenhill,00AQGB,E05000288,13100.00,6427.00,18800.00,272000.00,37550.00,4.60
Harrow__Harrow_on_the_Hill,00AQGC,E05000289,12850.00,5651.00,4900.00,343000.00,39630.00,3.10
Harrow__Harrow_Weald,00AQGD,E05000290,11650.00,4964.00,2200.00,384000.00,36940.00,2.80
Harrow__Hatch_End,00AQGE,E05000291,10950.00,4812.00,2800.00,500000.00,42350.00,2.30
Harrow__Headstone_North,00AQGF,E05000292,10400.00,4873.00,2000.00,427500.00,44470.00,2.70
Harrow__Headstone_South,00AQGG,E05000293,11600.00,5406.00,2200.00,322500.00,39090.00,3.10
Harrow__Kenton_East,00AQGH,E05000294,11500.00,5251.00,1300.00,380000.00,32880.00,2.50
Harrow__Kenton_West,00AQGJ,E05000295,11550.00,5430.00,3300.00,434475.00,38400.00,2.90
Harrow__Marlborough,00AQGK,E05000296,13000.00,5758.00,2900.00,268950.00,34450.00,3.80
Harrow__Pinner,00AQGL,E05000297,10300.00,4466.00,3100.00,400000.00,43950.00,1.80
Harrow__Pinner_South,00AQGM,E05000298,10650.00,4833.00,1900.00,520000.00,49420.00,2.20
Harrow__Queensbury,00AQGN,E05000299,12350.00,5490.00,1600.00,390000.00,35030.00,2.60
Harrow__Rayners_Lane,00AQGP,E05000300,11450.00,5206.00,2200.00,380000.00,40310.00,3.20
Harrow__Roxbourne,00AQGQ,E05000301,13150.00,5469.00,1900.00,290000.00,32130.00,3.00
Harrow__Roxeth,00AQGR,E05000302,12000.00,5288.00,1600.00,355000.00,35110.00,3.00
Harrow__Stanmore_Park,00AQGS,E05000303,11450.00,4637.00,3700.00,555000.00,39210.00,2.10
Harrow__Wealdstone,00AQGT,E05000304,11700.00,4869.00,2200.00,310000.00,32080.00,3.30
Harrow__West_Harrow,00AQGU,E05000305,10700.00,4949.00,3700.00,363500.00,40210.00,3.20
Havering__Brooklands,00ARGC,E05000306,17100.00,7118.00,10000.00,207500.00,35250.00,2.90
Havering__Cranham,00ARGD,E05000307,12650.00,5608.00,1900.00,320000.00,42250.00,2.30
Havering__Elm_Park,00ARGE,E05000308,12700.00,5738.00,1200.00,250000.00,34730.00,2.60
Havering__Emerson_Park,00ARGF,E05000309,12100.00,5549.00,2200.00,365000.00,43790.00,2.00
Havering__Gooshays,00ARGG,E05000310,15400.00,5909.00,2200.00,229000.00,29400.00,2.60
Havering__Hacton,00ARGH,E05000311,12600.00,5919.00,2100.00,296500.00,39740.00,2.40
Havering__Harold_Wood,00ARGJ,E05000312,13750.00,5946.00,5900.00,250000.00,37010.00,2.40
Havering__Havering_Park,00ARGK,E05000313,13200.00,5645.00,1700.00,250000.00,33590.00,2.10
Havering__Heaton,00ARGL,E05000314,13200.00,4946.00,2400.00,217000.00,29560.00,2.10
Havering__Hylands,00ARGM,E05000315,13150.00,6483.00,3500.00,275000.00,39890.00,2.10
Havering__Mawneys,00ARGN,E05000316,13100.00,5907.00,2100.00,250000.00,35820.00,2.50
Havering__Pettits,00ARGP,E05000317,13050.00,6030.00,2200.00,295000.00,40010.00,2.20
Havering__Rainham_and_Wennington,00ARGQ,E05000318,13150.00,5738.00,4800.00,240000.00,34470.00,2.00
Havering__Romford_Town,00ARGR,E05000319,18700.00,8096.00,16500.00,225000.00,37160.00,4.20
Havering__St._Andrew's,00ARGS,E05000320,13650.00,6366.00,5600.00,272500.00,38130.00,3.20
Havering__South_Hornchurch,00ARGT,E05000321,16550.00,5953.00,4800.00,242000.00,33160.00,2.50
Havering__Squirrel's_Heath,00ARGU,E05000322,13400.00,6722.00,2600.00,280250.00,41740.00,2.60
Havering__Upminster,00ARGW,E05000323,12950.00,5951.00,5400.00,420000.00,47580.00,1.90
Hillingdon__Barnhill,00ASGG,E05000324,14050.00,5775.00,1500.00,250000.00,31800.00,2.40
Hillingdon__Botwell,00ASGH,E05000325,15950.00,6346.00,11800.00,250000.00,30700.00,3.10
Hillingdon__Brunel,00ASGJ,E05000326,14750.00,5848.00,8900.00,273750.00,34630.00,2.40
Hillingdon__Cavendish,00ASGK,E05000327,12100.00,5755.00,2500.00,400000.00,43970.00,2.10
Hillingdon__Charville,00ASGL,E05000328,13200.00,5794.00,4100.00,275000.00,35410.00,2.40
Hillingdon__Eastcote_and_East_Ruislip,00ASGM,E05000329,12600.00,5804.00,2500.00,500000.00,47380.00,1.70
Hillingdon__Harefield,00ASGN,E05000330,7750.00,3571.00,4400.00,310000.00,37990.00,1.40
Hillingdon__Heathrow_Villages,00ASGP,E05000331,13250.00,6107.00,57300.00,209000.00,33170.00,2.60
Hillingdon__Hillingdon_East,00ASGQ,E05000332,13700.00,6074.00,5400.00,311000.00,37250.00,1.70
Hillingdon__Ickenham,00ASGR,E05000333,10750.00,4884.00,2800.00,521000.00,48770.00,2.10
Hillingdon__Manor,00ASGS,E05000334,11900.00,5903.00,1900.00,372500.00,43460.00,2.90
Hillingdon__Northwood,00ASGT,E05000335,10850.00,4860.00,5100.00,470000.00,46550.00,2.20
Hillingdon__Northwood_Hills,00ASGU,E05000336,12050.00,5475.00,2600.00,413500.00,43320.00,2.00
Hillingdon__Pinkwell,00ASGW,E05000337,15750.00,6417.00,3200.00,280000.00,31830.00,2.70
Hillingdon__South_Ruislip,00ASGX,E05000338,12950.00,6448.00,6000.00,305000.00,40060.00,2.50
Hillingdon__Townfield,00ASGY,E05000339,14900.00,5977.00,7400.00,280000.00,30430.00,3.10
Hillingdon__Uxbridge_North,00ASGZ,E05000340,13100.00,5903.00,9200.00,349950.00,41470.00,2.40
Hillingdon__Uxbridge_South,00ASHA,E05000341,15000.00,6133.00,46500.00,259000.00,34270.00,2.50
Hillingdon__West_Drayton,00ASHB,E05000342,15250.00,6519.00,2400.00,249997.00,32680.00,2.40
Hillingdon__West_Ruislip,00ASHC,E05000343,11600.00,5421.00,5100.00,335000.00,43470.00,2.20
Hillingdon__Yeading,00ASHD,E05000344,14250.00,5981.00,1600.00,250000.00,33240.00,1.90
Hillingdon__Yiewsley,00ASHE,E05000345,13750.00,6051.00,7600.00,225000.00,32340.00,2.50
Hounslow__Bedfont,00ATFY,E05000346,12950.00,6105.00,9400.00,229000.00,31870.00,2.10
Hounslow__Brentford,00ATFZ,E05000347,15800.00,7043.00,11500.00,370000.00,35040.00,3.20
Hounslow__Chiswick_Homefields,00ATGA,E05000348,11650.00,6077.00,6800.00,772500.00,51830.00,3.60
Hounslow__Chiswick_Riverside,00ATGB,E05000349,11700.00,6201.00,2200.00,650000.00,49680.00,2.80
Hounslow__Cranford,00ATGC,E05000350,12750.00,5548.00,5600.00,226500.00,30860.00,2.40
Hounslow__Feltham_North,00ATGD,E05000351,11850.00,5500.00,8200.00,270000.00,32850.00,2.90
Hounslow__Feltham_West,00ATGE,E05000352,15800.00,7666.00,4900.00,225000.00,34010.00,2.40
Hounslow__Hanworth,00ATGF,E05000353,12400.00,5265.00,3500.00,250000.00,31150.00,2.60
Hounslow__Hanworth_Park,00ATGG,E05000354,12250.00,5614.00,8900.00,250000.00,34340.00,2.60
Hounslow__Heston_Central,00ATGH,E05000355,12600.00,5584.00,1400.00,348000.00,33580.00,2.90
Hounslow__Heston_East,00ATGJ,E05000356,12700.00,5745.00,3200.00,248000.00,34030.00,2.30
Hounslow__Heston_West,00ATGK,E05000357,12750.00,5161.00,5200.00,280000.00,29490.00,2.30
Hounslow__Hounslow_Central,00ATGL,E05000358,16200.00,7795.00,12000.00,249950.00,35830.00,5.10
Hounslow__Hounslow_Heath,00ATGM,E05000359,15250.00,6878.00,3200.00,249950.00,32530.00,3.20
Hounslow__Hounslow_South,00ATGN,E05000360,11700.00,5767.00,1100.00,375000.00,39920.00,2.50
Hounslow__Hounslow_West,00ATGP,E05000361,13750.00,6288.00,3500.00,270000.00,31890.00,3.90
Hounslow__Isleworth,00ATGQ,E05000362,12150.00,5827.00,4500.00,301000.00,34790.00,2.40
Hounslow__Osterley_and_Spring_Grove,00ATGR,E05000363,13350.00,6844.00,19500.00,345500.00,42140.00,2.80
Hounslow__Syon,00ATGS,E05000364,14200.00,7063.00,8300.00,365000.00,37040.00,3.60
Hounslow__Turnham_Green,00ATGT,E05000365,11800.00,6354.00,20500.00,634000.00,47080.00,4.40
Islington__Barnsbury,00AUFX,E05000366,12950.00,6292.00,6600.00,715000.00,44970.00,5.70
Islington__Bunhill,00AUFY,E05000367,16700.00,6889.00,68100.00,640000.00,39200.00,7.10
Islington__Caledonian,00AUFZ,E05000368,14950.00,6494.00,17000.00,447500.00,35840.00,5.30
Islington__Canonbury,00AUGA,E05000369,12500.00,6103.00,1600.00,550000.00,40590.00,6.50
Islington__Clerkenwell,00AUGB,E05000370,12350.00,5721.00,58100.00,732500.00,43350.00,6.90
Islington__Finsbury_Park,00AUGC,E05000371,15300.00,6862.00,7100.00,410000.00,33620.00,6.60
Islington__Highbury_East,00AUGD,E05000372,12150.00,6350.00,3300.00,667500.00,47810.00,4.70
Islington__Highbury_West,00AUGE,E05000373,16400.00,8745.00,5000.00,500000.00,43800.00,5.70
Islington__Hillrise,00AUGF,E05000374,12350.00,5560.00,1100.00,447500.00,39090.00,4.20
Islington__Holloway,00AUGG,E05000375,16050.00,7305.00,4500.00,405000.00,35430.00,5.90
Islington__Junction,00AUGH,E05000376,12950.00,6085.00,9600.00,452000.00,39470.00,6.00
Islington__Mildmay,00AUGJ,E05000377,13500.00,6556.00,1700.00,525000.00,39300.00,6.10
Islington__St._George's,00AUGK,E05000378,13100.00,6282.00,2300.00,495645.00,40860.00,4.50
Islington__St._Mary's,00AUGL,E05000379,12500.00,6476.00,12700.00,650000.00,46190.00,6.70
Islington__St._Peter's,00AUGM,E05000380,13200.00,6277.00,7300.00,667500.00,43870.00,5.30
Islington__Tollington,00AUGN,E05000381,13900.00,6770.00,2500.00,465000.00,38090.00,4.50
Kensington_and_Chelsea__Abingdon,00AWFY,E05000382,10700.00,4823.00,6900.00,1295000.00,54690.00,6.50
Kensington_and_Chelsea__Brompton,00AWFZ,E05000383,8900.00,4465.00,24800.00,1950000.00,64320.00,6.80
Kensington_and_Chelsea__Campden,00AWGA,E05000384,8250.00,4206.00,7700.00,1400000.00,65500.00,6.80
Kensington_and_Chelsea__Colville,00AWGB,E05000385,8400.00,4457.00,4200.00,935000.00,43560.00,5.40
Kensington_and_Chelsea__Courtfield,00AWGC,E05000386,9100.00,4535.00,4800.00,1325000.00,61810.00,6.90
Kensington_and_Chelsea__Cremorne,00AWGD,E05000387,8250.00,3470.00,3600.00,1050000.00,43920.00,4.70
Kensington_and_Chelsea__Earl's_Court,00AWGE,E05000388,9300.00,4973.00,5300.00,783250.00,44100.00,7.00
Kensington_and_Chelsea__Golborne,00AWGF,E05000389,9600.00,3768.00,5300.00,533800.00,30100.00,4.50
Kensington_and_Chelsea__Hans_Town,00AWGG,E05000390,8850.00,4424.00,8100.00,1587500.00,58100.00,6.60
Kensington_and_Chelsea__Holland,00AWGH,E05000391,9850.00,4586.00,3100.00,1375000.00,54770.00,6.00
Kensington_and_Chelsea__Norland,00AWGJ,E05000392,8750.00,3961.00,4600.00,1343000.00,53430.00,5.40
Kensington_and_Chelsea__Notting_Barns,00AWGK,E05000393,9750.00,4036.00,5300.00,776000.00,36690.00,4.20
Kensington_and_Chelsea__Pembridge,00AWGL,E05000394,7700.00,4288.00,3900.00,1127500.00,55710.00,7.00
Kensington_and_Chelsea__Queen's_Gate,00AWGM,E05000395,9950.00,4971.00,13300.00,1745000.00,63630.00,6.00
Kensington_and_Chelsea__Redcliffe,00AWGN,E05000396,9300.00,5131.00,2800.00,995000.00,54550.00,6.20
Kensington_and_Chelsea__Royal_Hospital,00AWGP,E05000397,7350.00,3539.00,5300.00,1995000.00,60600.00,5.00
Kensington_and_Chelsea__St._Charles,00AWGQ,E05000398,9600.00,4126.00,3000.00,642500.00,36100.00,3.80
Kensington_and_Chelsea__Stanley,00AWGR,E05000399,8250.00,4239.00,13500.00,1100000.00,54990.00,5.60
Kingston_upon_Thames__Alexandra,00AXFX,E05000400,9700.00,4464.00,2500.00,404975.00,41390.00,2.20
Kingston_upon_Thames__Berrylands,00AXFY,E05000401,9800.00,4813.00,2000.00,361125.00,42330.00,2.80
Kingston_upon_Thames__Beverley,00AXFZ,E05000402,10450.00,4807.00,4500.00,435000.00,40700.00,2.80
Kingston_upon_Thames__Canbury,00AXGA,E05000403,13300.00,6529.00,5200.00,449500.00,45600.00,4.10
Kingston_upon_Thames__Chessington_North_and_Hook,00AXGB,E05000404,9000.00,4334.00,2000.00,310000.00,37230.00,2.40
Kingston_upon_Thames__Chessington_South,00AXGC,E05000405,10550.00,5291.00,5300.00,315000.00,38310.00,2.40
Kingston_upon_Thames__Coombe_Hill,00AXGD,E05000406,10750.00,4458.00,7200.00,480000.00,45650.00,2.50
Kingston_upon_Thames__Coombe_Vale,00AXGE,E05000407,10050.00,4619.00,1900.00,480000.00,44320.00,2.30
Kingston_upon_Thames__Grove,00AXGF,E05000408,11800.00,5683.00,23000.00,400000.00,41410.00,4.20
Kingston_upon_Thames__Norbiton,00AXGG,E05000409,10600.00,4973.00,4000.00,341750.00,34650.00,3.60
Kingston_upon_Thames__Old_Malden,00AXGH,E05000410,9700.00,4501.00,1100.00,395725.00,41760.00,2.70
Kingston_upon_Thames__St._James,00AXGJ,E05000411,9250.00,4061.00,2000.00,443568.00,41850.00,2.60
Kingston_upon_Thames__St._Mark's,00AXGK,E05000412,10900.00,5872.00,4300.00,395350.00,44930.00,3.70
Kingston_upon_Thames__Surbiton_Hill,00AXGL,E05000413,10950.00,5705.00,2100.00,396770.00,43160.00,3.30
Kingston_upon_Thames__Tolworth_and_Hook_Rise,00AXGM,E05000414,10650.00,4993.00,5200.00,337195.00,37840.00,2.30
Kingston_upon_Thames__Tudor,00AXGN,E05000415,9850.00,4674.00,1900.00,550000.00,48530.00,2.30
Lambeth__Bishop's,00AYFZ,E05000416,11400.00,5119.00,43400.00,590000.00,40360.00,7.60
Lambeth__Brixton_Hill,00AYGA,E05000417,16650.00,9214.00,3900.00,420000.00,39050.00,4.90
Lambeth__Clapham_Common,00AYGB,E05000418,13600.00,8007.00,8200.00,620000.00,49520.00,4.10
Lambeth__Clapham_Town,00AYGC,E05000419,14850.00,8628.00,6200.00,610000.00,44960.00,5.10
Lambeth__Coldharbour,00AYGD,E05000420,17500.00,7874.00,5500.00,435000.00,32220.00,5.40
Lambeth__Ferndale,00AYGE,E05000421,16400.00,9406.00,4600.00,497475.00,39480.00,6.30
Lambeth__Gipsy_Hill,00AYGF,E05000422,13900.00,6633.00,2000.00,350000.00,36650.00,3.70
Lambeth__Herne_Hill,00AYGG,E05000423,15600.00,8459.00,12000.00,432500.00,41700.00,4.50
Lambeth__Knight's_Hill,00AYGH,E05000424,15200.00,6876.00,2700.00,355000.00,36950.00,4.10
Lambeth__Larkhall,00AYGJ,E05000425,18000.00,9777.00,4700.00,430000.00,37260.00,5.20
Lambeth__Oval,00AYGK,E05000426,16600.00,8847.00,12700.00,699995.00,39200.00,6.90
Lambeth__Prince's,00AYGL,E05000427,15400.00,7480.00,15600.00,495000.00,37600.00,6.30
Lambeth__St._Leonard's,00AYGM,E05000428,15200.00,8292.00,3700.00,340000.00,39880.00,5.90
Lambeth__Stockwell,00AYGN,E05000429,15250.00,7863.00,2800.00,391375.00,35050.00,5.40
Lambeth__Streatham_Hill,00AYGP,E05000430,15150.00,7798.00,1800.00,359000.00,39250.00,5.30
Lambeth__Streatham_South,00AYGQ,E05000431,14750.00,6900.00,1500.00,375000.00,36710.00,4.10
Lambeth__Streatham_Wells,00AYGR,E05000432,15250.00,8008.00,2700.00,345875.00,38270.00,4.40
Lambeth__Thornton,00AYGS,E05000433,14000.00,6647.00,1600.00,511250.00,41880.00,3.50
Lambeth__Thurlow_Park,00AYGT,E05000434,13800.00,7074.00,2300.00,412748.00,41600.00,5.00
Lambeth__Tulse_Hill,00AYGU,E05000435,16250.00,8054.00,1800.00,417000.00,35610.00,4.40
Lambeth__Vassall,00AYGW,E05000436,15600.00,7157.00,3400.00,395000.00,34830.00,4.40
Lewisham__Bellingham,00AZGD,E05000437,15300.00,6198.00,4700.00,265000.00,31340.00,3.00
Lewisham__Blackheath,00AZGE,E05000438,15000.00,7360.00,5600.00,385000.00,44870.00,4.90
Lewisham__Brockley,00AZGF,E05000439,18550.00,9571.00,5200.00,330000.00,38100.00,5.80
Lewisham__Catford_South,00AZGG,E05000440,15650.00,7172.00,3100.00,332500.00,39070.00,3.30
Lewisham__Crofton_Park,00AZGH,E05000441,15350.00,7876.00,2300.00,455000.00,42560.00,4.10
Lewisham__Downham,00AZGJ,E05000442,15000.00,5793.00,2200.00,242500.00,30880.00,3.30
Lewisham__Evelyn,00AZGK,E05000443,18550.00,7482.00,3200.00,315000.00,30560.00,3.10
Lewisham__Forest_Hill,00AZGL,E05000444,15300.00,7528.00,2700.00,340000.00,40960.00,4.00
Lewisham__Grove_Park,00AZGM,E05000445,15100.00,6764.00,1600.00,250000.00,36150.00,3.20
Lewisham__Ladywell,00AZGN,E05000446,15200.00,7447.00,1600.00,370000.00,40290.00,4.50
Lewisham__Lee_Green,00AZGP,E05000447,15050.00,7639.00,2600.00,402500.00,42760.00,3.60
Lewisham__Lewisham_Central,00AZGQ,E05000448,20250.00,8895.00,10900.00,290000.00,35760.00,5.20
Lewisham__New_Cross,00AZGR,E05000449,17650.00,7520.00,5500.00,242000.00,31520.00,4.40
Lewisham__Perry_Vale,00AZGS,E05000450,16050.00,7946.00,1400.00,355000.00,39130.00,3.40
Lewisham__Rushey_Green,00AZGT,E05000451,16650.00,6818.00,6400.00,270000.00,34670.00,5.20
Lewisham__Sydenham,00AZGU,E05000452,16150.00,7327.00,2700.00,350000.00,37060.00,4.10
Lewisham__Telegraph_Hill,00AZGW,E05000453,17250.00,8512.00,2300.00,360000.00,37230.00,5.20
Lewisham__Whitefoot,00AZGX,E05000454,15050.00,5802.00,1200.00,248000.00,32840.00,2.80
Merton__Abbey,00BAFX,E05000455,10600.00,6284.00,10800.00,482500.00,45370.00,5.10
Merton__Cannon_Hill,00BAFY,E05000456,9500.00,4665.00,1300.00,455000.00,42320.00,2.60
Merton__Colliers_Wood,00BAFZ,E05000457,11250.00,6385.00,3400.00,350000.00,38780.00,3.90
Merton__Cricket_Green,00BAGA,E05000458,11800.00,4967.00,5400.00,245000.00,29930.00,2.90
Merton__Dundonald,00BAGB,E05000459,9650.00,5683.00,5300.00,565000.00,49910.00,4.90
Merton__Figge's_Marsh,00BAGC,E05000460,11700.00,5036.00,1800.00,250000.00,30860.00,3.60
Merton__Graveney,00BAGD,E05000461,10100.00,4981.00,1600.00,388000.00,35580.00,3.40
Merton__Hillside,00BAGE,E05000462,9250.00,5194.00,8600.00,563750.00,51480.00,5.40
Merton__Lavender_Fields,00BAGF,E05000463,10650.00,5393.00,1600.00,280000.00,33360.00,2.70
Merton__Longthornton,00BAGG,E05000464,10500.00,4737.00,900.00,295000.00,34350.00,2.80
Merton__Lower_Morden,00BAGH,E05000465,9350.00,4660.00,2100.00,320000.00,38730.00,2.20
Merton__Merton_Park,00BAGJ,E05000466,9750.00,4702.00,4100.00,522500.00,46300.00,3.80
Merton__Pollards_Hill,00BAGK,E05000467,10800.00,4560.00,800.00,288000.00,31940.00,2.60
Merton__Ravensbury,00BAGL,E05000468,10250.00,4489.00,1800.00,285000.00,32330.00,2.90
Merton__Raynes_Park,00BAGM,E05000469,10000.00,5072.00,8300.00,499500.00,49340.00,3.80
