Ward_name,Old_code,New_code,Population__2015,In_employment_(1664)__2011,Number_of_jobs_in_area__2013,Median_House_Price_(£)__2014,Median_Household_income_(£)_estimate_(2012/13),Average_Public_Transport_Accessibility_score__2014
Merton__St._Helier,00BAGN,E05000470,10650.00,4703.00,2000.00,280000.00,32530.00,3.10
Merton__Trinity,00BAGP,E05000471,10000.00,5925.00,6900.00,497000.00,47380.00,3.90
Merton__Village,00BAGQ,E05000472,8750.00,3730.00,5200.00,1530000.00,62200.00,2.40
Merton__West_Barnes,00BAGR,E05000473,10200.00,4990.00,4100.00,475000.00,44170.00,2.90
Merton__Wimbledon_Park,00BAGS,E05000474,11500.00,6198.00,5200.00,732500.00,50730.00,3.10
Newham__Beckton,00BBGB,E05000475,16700.00,6682.00,10700.00,233500.00,34100.00,2.80
Newham__Boleyn,00BBGC,E05000476,16350.00,6291.00,2900.00,250000.00,31630.00,4.00
Newham__Canning_Town_North,00BBGD,E05000477,16650.00,6103.00,7100.00,249000.00,28910.00,4.70
Newham__Canning_Town_South,00BBGE,E05000478,20350.00,7403.00,2700.00,280000.00,32870.00,3.60
Newham__Custom_House,00BBGF,E05000479,14850.00,5839.00,3300.00,250000.00,31840.00,3.20
Newham__East_Ham_Central,00BBGG,E05000480,16200.00,6503.00,3900.00,250000.00,32380.00,4.70
Newham__East_Ham_North,00BBGH,E05000481,14250.00,5482.00,2000.00,249995.00,32340.00,4.40
Newham__East_Ham_South,00BBGJ,E05000482,16250.00,5952.00,2600.00,240000.00,31430.00,2.60
Newham__Forest_Gate_North,00BBGK,E05000483,16550.00,7545.00,1600.00,313000.00,34270.00,3.20
Newham__Forest_Gate_South,00BBGL,E05000484,18150.00,7985.00,3400.00,263900.00,34550.00,3.90
Newham__Green_Street_East,00BBGM,E05000485,16250.00,6341.00,1800.00,260000.00,31570.00,3.70
Newham__Green_Street_West,00BBGN,E05000486,15500.00,5873.00,4100.00,250000.00,31080.00,4.00
Newham__Little_Ilford,00BBGP,E05000487,17100.00,5774.00,1600.00,230000.00,29730.00,2.70
Newham__Manor_Park,00BBGQ,E05000488,15600.00,5936.00,1900.00,249975.00,31580.00,4.00
Newham__Plaistow_North,00BBGR,E05000489,15800.00,6260.00,1700.00,250000.00,30740.00,4.40
Newham__Plaistow_South,00BBGS,E05000490,16800.00,6921.00,4900.00,250000.00,31750.00,4.40
Newham__Royal_Docks,00BBGT,E05000491,16550.00,5750.00,6100.00,303500.00,38580.00,2.80
Newham__Stratford_and_New_Town,00BBGU,E05000492,26700.00,9665.00,24800.00,280000.00,35840.00,5.80
Newham__Wall_End,00BBGW,E05000493,15150.00,5786.00,1300.00,250000.00,32330.00,3.70
Newham__West_Ham,00BBGX,E05000494,16150.00,7002.00,1800.00,273500.00,32310.00,4.70
Redbridge__Aldborough,00BCFY,E05000495,15800.00,6327.00,4300.00,315000.00,37310.00,2.70
Redbridge__Barkingside,00BCFZ,E05000496,13150.00,5513.00,2400.00,368750.00,39620.00,3.20
Redbridge__Bridge,00BCGA,E05000497,11850.00,5683.00,2100.00,340000.00,39320.00,2.50
Redbridge__Chadwell,00BCGB,E05000498,14850.00,6343.00,2500.00,250000.00,36700.00,2.40
Redbridge__Church_End,00BCGC,E05000499,11900.00,6381.00,4500.00,340000.00,45410.00,2.70
Redbridge__Clayhall,00BCGD,E05000500,13600.00,5723.00,3700.00,390000.00,41450.00,2.30
Redbridge__Clementswood,00BCGE,E05000501,16950.00,5459.00,8500.00,235000.00,30230.00,3.40
Redbridge__Cranbrook,00BCGF,E05000502,13300.00,5349.00,3200.00,367500.00,38290.00,3.80
Redbridge__Fairlop,00BCGG,E05000503,12900.00,5906.00,3000.00,310000.00,37560.00,2.80
Redbridge__Fullwell,00BCGH,E05000504,13150.00,5407.00,2000.00,339498.00,35690.00,2.40
Redbridge__Goodmayes,00BCGJ,E05000505,13400.00,5407.00,2300.00,307000.00,33820.00,3.70
Redbridge__Hainault,00BCGK,E05000506,13550.00,5304.00,3500.00,249999.00,31520.00,2.40
Redbridge__Loxford,00BCGL,E05000507,17700.00,5618.00,3200.00,193000.00,28500.00,3.40
Redbridge__Mayfield,00BCGM,E05000508,13950.00,5561.00,2100.00,305000.00,35630.00,2.70
Redbridge__Monkhams,00BCGN,E05000509,10650.00,4950.00,3100.00,499748.00,48780.00,2.60
Redbridge__Newbury,00BCGP,E05000510,17450.00,6931.00,3600.00,315000.00,35550.00,3.10
Redbridge__Roding,00BCGQ,E05000511,12550.00,5951.00,2100.00,302500.00,41040.00,2.50
Redbridge__Seven_Kings,00BCGR,E05000512,16950.00,6066.00,6800.00,294000.00,34480.00,3.10
Redbridge__Snaresbrook,00BCGS,E05000513,12100.00,6214.00,3300.00,361393.00,45160.00,3.60
Redbridge__Valentines,00BCGT,E05000514,15050.00,5758.00,4800.00,225000.00,34900.00,4.50
Redbridge__Wanstead,00BCGU,E05000515,11700.00,5688.00,1100.00,460000.00,46370.00,2.50
Richmond_upon_Thames__Barnes,00BDFW,E05000516,10500.00,4839.00,2700.00,1362500.00,55450.00,3.40
Richmond_upon_Thames__East_Sheen,00BDFX,E05000517,10500.00,5108.00,3500.00,985000.00,56090.00,2.60
Richmond_upon_Thames__Fulwell_and_Hampton_Hill,00BDFY,E05000518,10300.00,5350.00,4900.00,480000.00,48810.00,3.20
"Richmond_upon_Thames__Ham,_Petersham_&_Richmond_Riverside",00BDFZ,E05000519,10550.00,4857.00,2700.00,500000.00,44870.00,2.10
Richmond_upon_Thames__Hampton,00BDGA,E05000520,10250.00,4999.00,4100.00,599950.00,46750.00,2.70
Richmond_upon_Thames__Hampton_North,00BDGB,E05000521,9600.00,4482.00,2200.00,335000.00,39440.00,2.10
Richmond_upon_Thames__Hampton_Wick,00BDGC,E05000522,10550.00,4950.00,3300.00,455000.00,46760.00,2.70
Richmond_upon_Thames__Heathfield,00BDGD,E05000523,10600.00,4752.00,1300.00,380500.00,36950.00,2.00
Richmond_upon_Thames__Kew,00BDGE,E05000524,11650.00,5807.00,4300.00,630000.00,52130.00,2.90
Richmond_upon_Thames__Mortlake_and_Barnes_Common,00BDGF,E05000525,11100.00,5800.00,2600.00,746500.00,50100.00,3.00
Richmond_upon_Thames__North_Richmond,00BDGG,E05000526,11050.00,5695.00,4500.00,625625.00,50860.00,4.40
Richmond_upon_Thames__St._Margarets_&_North_Twickenham,00BDGH,E05000527,11800.00,6200.00,4000.00,600000.00,52870.00,3.10
Richmond_upon_Thames__South_Richmond,00BDGJ,E05000528,11100.00,5715.00,13200.00,655000.00,52690.00,4.20
Richmond_upon_Thames__South_Twickenham,00BDGK,E05000529,10100.00,5458.00,4300.00,555500.00,51380.00,3.50
Richmond_upon_Thames__Teddington,00BDGL,E05000530,10550.00,5564.00,8400.00,499950.00,50600.00,3.20
Richmond_upon_Thames__Twickenham_Riverside,00BDGM,E05000531,10650.00,5916.00,8400.00,458725.00,51350.00,4.50
Richmond_upon_Thames__West_Twickenham,00BDGN,E05000532,10750.00,5568.00,2100.00,450000.00,45040.00,2.70
Richmond_upon_Thames__Whitton,00BDGP,E05000533,10050.00,4802.00,1400.00,420000.00,42230.00,2.40
Southwark__Brunswick_Park,00BEGC,E05000534,13600.00,6446.00,6700.00,346500.00,36310.00,4.10
Southwark__Camberwell_Green,00BEGD,E05000535,15950.00,6937.00,5400.00,310000.00,31840.00,5.60
Southwark__Cathedrals,00BEGE,E05000536,17250.00,7697.00,65500.00,580000.00,40430.00,8.00
Southwark__Chaucer,00BEGF,E05000537,16200.00,8056.00,18000.00,442000.00,37780.00,7.20
Southwark__College,00BEGG,E05000538,11900.00,5705.00,1900.00,350000.00,42600.00,3.40
Southwark__East_Dulwich,00BEGH,E05000539,12400.00,7196.00,2700.00,572500.00,48670.00,4.10
Southwark__East_Walworth,00BEGJ,E05000540,13850.00,5291.00,4100.00,315000.00,31010.00,5.80
Southwark__Faraday,00BEGK,E05000541,13050.00,5581.00,1400.00,315000.00,30760.00,4.70
Southwark__Grange,00BEGL,E05000542,17600.00,8428.00,16800.00,500000.00,38500.00,5.10
Southwark__Livesey,00BEGM,E05000543,15000.00,5742.00,4000.00,289995.00,28880.00,4.30
Southwark__Newington,00BEGN,E05000544,15500.00,6957.00,6900.00,380000.00,34190.00,5.80
Southwark__Nunhead,00BEGP,E05000545,13850.00,6328.00,1200.00,356250.00,33540.00,4.80
Southwark__Peckham,00BEGQ,E05000546,15350.00,6258.00,1400.00,285000.00,30030.00,4.10
Southwark__Peckham_Rye,00BEGR,E05000547,13550.00,7263.00,1400.00,421000.00,42820.00,3.50
Southwark__Riverside,00BEGS,E05000548,16600.00,8745.00,46700.00,585000.00,43110.00,4.40
Southwark__Rotherhithe,00BEGT,E05000549,15050.00,7175.00,3400.00,421800.00,36970.00,5.30
Southwark__South_Bermondsey,00BEGU,E05000550,14400.00,6452.00,2300.00,288025.00,31150.00,3.70
Southwark__South_Camberwell,00BEGW,E05000551,13200.00,6543.00,3000.00,396089.00,41130.00,4.60
Southwark__Surrey_Docks,00BEGX,E05000552,15400.00,8567.00,2700.00,415000.00,45410.00,2.90
Southwark__The_Lane,00BEGY,E05000553,16450.00,7623.00,4900.00,407500.00,37940.00,6.00
Southwark__Village,00BEGZ,E05000554,12500.00,6258.00,3100.00,850000.00,58400.00,4.10
Sutton__Beddington_North,00BFGC,E05000555,10550.00,5250.00,9500.00,289000.00,39290.00,2.60
Sutton__Beddington_South,00BFGD,E05000556,10900.00,4718.00,2100.00,386000.00,35600.00,2.00
Sutton__Belmont,00BFGE,E05000557,10350.00,5042.00,4300.00,290000.00,44260.00,2.30
Sutton__Carshalton_Central,00BFGF,E05000558,10400.00,5302.00,2600.00,318000.00,42200.00,3.30
Sutton__Carshalton_South_and_Clockhouse,00BFGG,E05000559,10200.00,4741.00,1900.00,419995.00,44270.00,2.10
Sutton__Cheam,00BFGH,E05000560,10550.00,4749.00,3800.00,376000.00,46220.00,2.20
Sutton__Nonsuch,00BFGJ,E05000561,10900.00,5402.00,2500.00,388500.00,42640.00,2.30
Sutton__St._Helier,00BFGK,E05000562,12300.00,5418.00,4300.00,248000.00,31040.00,2.90
Sutton__Stonecot,00BFGL,E05000563,11000.00,5420.00,2900.00,347500.00,39210.00,2.50
Sutton__Sutton_Central,00BFGM,E05000564,11550.00,5793.00,16000.00,240000.00,35660.00,4.90
Sutton__Sutton_North,00BFGN,E05000565,10600.00,4959.00,1700.00,300500.00,38060.00,3.30
Sutton__Sutton_South,00BFGP,E05000566,10000.00,5073.00,3900.00,250000.00,40460.00,3.30
Sutton__Sutton_West,00BFGQ,E05000567,10900.00,5686.00,1900.00,270000.00,41610.00,3.50
Sutton__The_Wrythe,00BFGR,E05000568,10500.00,5289.00,1500.00,257500.00,36790.00,2.60
Sutton__Wallington_North,00BFGS,E05000569,10900.00,5531.00,2900.00,272000.00,38710.00,3.50
Sutton__Wallington_South,00BFGT,E05000570,10650.00,4886.00,3200.00,246000.00,37960.00,3.40
Sutton__Wandle_Valley,00BFGU,E05000571,12250.00,5601.00,2000.00,243500.00,32330.00,2.40
Sutton__Worcester_Park,00BFGW,E05000572,11950.00,6052.00,2700.00,338000.00,40610.00,2.40
Tower_Hamlets__Bethnal_Green_North,00BGFW,E05000573,14750.00,6580.00,4700.00,383000.00,36230.00,6.00
Tower_Hamlets__Bethnal_Green_South,00BGFX,E05000574,15150.00,5934.00,3600.00,357500.00,32860.00,6.80
Tower_Hamlets__Blackwall_and_Cubitt_Town,00BGFY,E05000575,23250.00,10684.00,25800.00,380000.00,43330.00,3.80
Tower_Hamlets__Bow_East,00BGFZ,E05000576,15650.00,7655.00,6200.00,325000.00,36800.00,3.60
Tower_Hamlets__Bow_West,00BGGA,E05000577,13650.00,6262.00,3000.00,415000.00,41000.00,5.20
Tower_Hamlets__BromleybyBow,00BGGB,E05000578,19750.00,5386.00,4100.00,302500.00,31980.00,4.20
Tower_Hamlets__East_India_and_Lansbury,00BGGC,E05000579,16550.00,5124.00,2700.00,293000.00,29680.00,3.50
Tower_Hamlets__Limehouse,00BGGD,E05000580,17100.00,7314.00,4000.00,375000.00,36260.00,5.00
Tower_Hamlets__Mile_End_and_Globe_Town,00BGGE,E05000581,16200.00,6271.00,7300.00,385000.00,34300.00,5.40
Tower_Hamlets__Mile_End_East,00BGGF,E05000582,15200.00,5276.00,3700.00,325000.00,32510.00,5.30
Tower_Hamlets__Millwall,00BGGG,E05000583,26350.00,13759.00,115700.00,420000.00,46940.00,3.40
Tower_Hamlets__St._Dunstan's_and_Stepney_Green,00BGGH,E05000584,17100.00,6098.00,3100.00,363250.00,32930.00,5.40
Tower_Hamlets__St._Katherine's_and_Wapping,00BGGJ,E05000585,13550.00,7619.00,15300.00,453000.00,50770.00,4.40
Tower_Hamlets__Shadwell,00BGGK,E05000586,15900.00,6534.00,3500.00,370000.00,36360.00,6.00
Tower_Hamlets__Spitalfields_and_Banglatown,00BGGL,E05000587,11800.00,5055.00,23700.00,499995.00,39910.00,6.90
Tower_Hamlets__Weavers,00BGGM,E05000588,15050.00,6693.00,4400.00,510000.00,37760.00,5.50
Tower_Hamlets__Whitechapel,00BGGN,E05000589,17300.00,7530.00,24300.00,489000.00,37600.00,6.80
Waltham_Forest__Cann_Hall,00BHFX,E05000590,14350.00,6265.00,1500.00,326000.00,32700.00,2.90
Waltham_Forest__Cathall,00BHFY,E05000591,13300.00,5715.00,1500.00,332500.00,30950.00,4.30
Waltham_Forest__Chapel_End,00BHFZ,E05000592,14600.00,6595.00,4100.00,340000.00,36440.00,2.90
Waltham_Forest__Chingford_Green,00BHGA,E05000593,10550.00,4570.00,3500.00,330000.00,39280.00,2.80
Waltham_Forest__Endlebury,00BHGB,E05000594,11150.00,4871.00,1300.00,310000.00,38580.00,2.40
Waltham_Forest__Forest,00BHGC,E05000595,13250.00,5861.00,10500.00,401000.00,36080.00,4.30
Waltham_Forest__Grove_Green,00BHGD,E05000596,15300.00,7587.00,1100.00,308000.00,36350.00,4.20
Waltham_Forest__Hale_End_and_Highams_Park,00BHGE,E05000597,12200.00,5319.00,6400.00,288748.00,39490.00,2.50
Waltham_Forest__Hatch_Lane,00BHGF,E05000598,11400.00,4914.00,1600.00,286500.00,36110.00,2.50
Waltham_Forest__High_Street,00BHGG,E05000599,14850.00,7146.00,3600.00,333000.00,34810.00,4.40
Waltham_Forest__Higham_Hill,00BHGH,E05000600,14200.00,5608.00,3300.00,325000.00,31270.00,2.60
Waltham_Forest__Hoe_Street,00BHGJ,E05000601,14600.00,6453.00,3100.00,360000.00,34890.00,5.20
Waltham_Forest__Larkswood,00BHGK,E05000602,12050.00,5104.00,2300.00,335000.00,35170.00,2.80
Waltham_Forest__Lea_Bridge,00BHGL,E05000603,16250.00,6671.00,6100.00,283250.00,31450.00,3.60
Waltham_Forest__Leyton,00BHGM,E05000604,14950.00,5956.00,5700.00,255000.00,31040.00,3.80
Waltham_Forest__Leytonstone,00BHGN,E05000605,13450.00,6887.00,3800.00,345000.00,38700.00,5.50
Waltham_Forest__Markhouse,00BHGP,E05000606,15250.00,6044.00,2200.00,324000.00,33780.00,4.20
Waltham_Forest__Valley,00BHGQ,E05000607,11850.00,5100.00,3300.00,285000.00,34250.00,2.40
Waltham_Forest__William_Morris,00BHGR,E05000608,13750.00,6291.00,2500.00,351625.00,35070.00,3.50
Waltham_Forest__Wood_Street,00BHGS,E05000609,14150.00,5974.00,2300.00,387500.00,35130.00,3.70
Wandsworth__Balham,00BJFZ,E05000610,15050.00,9369.00,4800.00,595000.00,53420.00,4.70
Wandsworth__Bedford,00BJGA,E05000611,15100.00,9077.00,1900.00,496500.00,46410.00,4.10
Wandsworth__Earlsfield,00BJGB,E05000612,16100.00,9556.00,5900.00,541000.00,44360.00,3.90
Wandsworth__East_Putney,00BJGC,E05000613,15850.00,9292.00,4100.00,534000.00,49010.00,4.10
Wandsworth__Fairfield,00BJGD,E05000614,15350.00,9882.00,8300.00,500000.00,48590.00,5.50
Wandsworth__Furzedown,00BJGE,E05000615,15850.00,7450.00,1600.00,410000.00,38240.00,3.20
Wandsworth__Graveney,00BJGF,E05000616,15700.00,8095.00,3600.00,440000.00,37960.00,5.20
Wandsworth__Latchmere,00BJGG,E05000617,15850.00,7869.00,2600.00,398500.00,34990.00,5.90
Wandsworth__Nightingale,00BJGH,E05000618,14950.00,8864.00,3600.00,595000.00,50790.00,5.40
Wandsworth__Northcote,00BJGJ,E05000619,15400.00,9397.00,6400.00,795000.00,55810.00,5.30
Wandsworth__Queenstown,00BJGK,E05000620,20150.00,9607.00,12200.00,630000.00,39580.00,4.40
Wandsworth__Roehampton,00BJGL,E05000621,17550.00,6856.00,4400.00,374950.00,30320.00,2.80
Wandsworth__St._Mary's_Park,00BJGM,E05000622,17250.00,9696.00,10400.00,530000.00,44720.00,3.90
Wandsworth__Shaftesbury,00BJGN,E05000623,14500.00,9354.00,4000.00,700000.00,50410.00,5.50
Wandsworth__Southfields,00BJGP,E05000624,16750.00,9716.00,5700.00,515250.00,48160.00,3.70
Wandsworth__Thamesfield,00BJGQ,E05000625,15400.00,9409.00,10900.00,700000.00,55380.00,4.50
Wandsworth__Tooting,00BJGR,E05000626,17350.00,8038.00,14100.00,440500.00,36000.00,5.10
Wandsworth__Wandsworth_Common,00BJGS,E05000627,16350.00,7925.00,3700.00,568000.00,51420.00,2.70
Wandsworth__West_Hill,00BJGT,E05000628,16850.00,8595.00,2400.00,395000.00,40360.00,2.80
Wandsworth__West_Putney,00BJGU,E05000629,15400.00,7376.00,1800.00,497800.00,43280.00,2.70
Westminster__Abbey_Road,00BKGA,E05000630,11500.00,5233.00,3800.00,750000.00,52200.00,5.40
Westminster__Bayswater,00BKGB,E05000631,10500.00,5977.00,4300.00,850000.00,49960.00,6.50
Westminster__Bryanston_and_Dorset_Square,00BKGC,E05000632,12650.00,6295.00,29300.00,975000.00,51370.00,8.00
Westminster__Churchill,00BKGD,E05000633,10550.00,4085.00,3500.00,1100000.00,39530.00,4.90
Westminster__Church_Street,00BKGE,E05000634,12000.00,3744.00,4700.00,440000.00,26290.00,6.70
Westminster__Harrow_Road,00BKGF,E05000635,12350.00,5533.00,2200.00,499950.00,35000.00,5.70
Westminster__Hyde_Park,00BKGG,E05000636,13450.00,6014.00,30000.00,850000.00,46880.00,8.00
Westminster__Knightsbridge_and_Belgravia,00BKGH,E05000637,10050.00,3947.00,34300.00,3500000.00,88330.00,6.60
Westminster__Lancaster_Gate,00BKGJ,E05000638,13800.00,7523.00,7900.00,895000.00,49290.00,7.70
Westminster__Little_Venice,00BKGK,E05000639,11050.00,5384.00,2900.00,870000.00,48770.00,5.60
Westminster__Maida_Vale,00BKGL,E05000640,10550.00,5243.00,1800.00,773000.00,45660.00,5.20
Westminster__Marylebone_High_Street,00BKGM,E05000641,11150.00,5902.00,67900.00,1090000.00,58370.00,7.70
Westminster__Queen's_Park,00BKGN,E05000642,13050.00,5088.00,1900.00,545000.00,32260.00,5.00
Westminster__Regent's_Park,00BKGP,E05000643,12500.00,5153.00,9100.00,942500.00,46510.00,5.20
Westminster__St._James's,00BKGQ,E05000644,12050.00,5879.00,214300.00,1262500.00,52520.00,7.60
Westminster__Tachbrook,00BKGR,E05000645,8500.00,4531.00,2600.00,715650.00,47340.00,6.60
Westminster__Vincent_Square,00BKGS,E05000646,10500.00,5023.00,26700.00,840000.00,46550.00,6.90
Westminster__Warwick,00BKGT,E05000647,9800.00,5388.00,24200.00,857250.00,50250.00,7.20
Westminster__Westbourne,00BKGU,E05000648,13200.00,5173.00,3800.00,499975.00,32390.00,4.90
Westminster__West_End,00BKGW,E05000649,11250.00,6124.00,217900.00,1487500.00,54970.00,8.00
City_of_London,00AA,E09000001,8100.00,4555.00,392400.00,765000.00,63620.00,7.90
Barking_and_Dagenham,00AB,E09000002,205450.00,74001.00,50000.00,215000.00,34080.00,3.00
Barnet,00AC,E09000003,393200.00,164302.00,124300.00,400000.00,54530.00,3.00
Bexley,00AD,E09000004,237000.00,107274.00,69400.00,250000.00,44430.00,2.60
Brent,00AE,E09000005,326350.00,144030.00,111600.00,385000.00,39630.00,3.70
Bromley,00AF,E09000006,320100.00,146448.00,105000.00,335000.00,55140.00,2.80
Camden,00AG,E09000007,230300.00,105123.00,327600.00,675000.00,67990.00,5.70
Croydon,00AH,E09000008,381150.00,168680.00,113100.00,265000.00,45120.00,3.20
Ealing,00AJ,E09000009,349350.00,161259.00,124400.00,388000.00,45690.00,3.30
Enfield,00AK,E09000010,322150.00,133872.00,98500.00,285000.00,41250.00,3.00
Greenwich,00AL,E09000011,281550.00,115561.00,74700.00,317000.00,44370.00,3.40
Hackney,00AM,E09000012,262700.00,116980.00,108500.00,433000.00,42690.00,4.90
Hammersmith_and_Fulham,00AN,E09000013,189850.00,97453.00,130500.00,661000.00,62910.00,4.70
Haringey,00AP,E09000014,269100.00,121835.00,65100.00,405000.00,45860.00,4.30
Harrow,00AQ,E09000015,247500.00,110158.00,71700.00,370000.00,49060.00,2.90
Havering,00AR,E09000016,250350.00,109624.00,77000.00,250000.00,44430.00,2.50
Hillingdon,00AS,E09000017,289500.00,127046.00,200000.00,307000.00,44950.00,2.40
Hounslow,00AT,E09000018,263600.00,124325.00,143400.00,319950.00,44490.00,3.00
Islington,00AU,E09000019,220800.00,104767.00,208600.00,530000.00,54950.00,5.70
Kensington_and_Chelsea,00AW,E09000020,161700.00,77998.00,125300.00,1195000.00,116350.00,5.80
Kingston_upon_Thames,00AX,E09000021,167200.00,79777.00,74100.00,385000.00,56920.00,2.90
Lambeth,00AY,E09000022,320450.00,164113.00,143100.00,420000.00,48610.00,5.00
Lewisham,00AZ,E09000023,293050.00,133650.00,65200.00,315000.00,43360.00,4.10
Merton,00BA,E09000024,206200.00,102354.00,81200.00,385000.00,57160.00,3.40
Newham,00BB,E09000025,338000.00,131093.00,90100.00,250000.00,34260.00,3.90
Redbridge,00BC,E09000026,292450.00,121539.00,72200.00,301500.00,45380.00,3.00
Richmond_upon_Thames,00BD,E09000027,191600.00,95862.00,77600.00,535000.00,76610.00,3.10
Southwark,00BE,E09000028,308650.00,145248.00,203400.00,420000.00,48000.00,4.90
Sutton,00BF,E09000029,196400.00,94912.00,70000.00,285000.00,49170.00,2.90
Tower_Hamlets,00BG,E09000030,284300.00,119774.00,255200.00,383000.00,45720.00,5.00
Waltham_Forest,00BH,E09000031,271450.00,118931.00,69800.00,320000.00,39460.00,3.60
Wandsworth,00BJ,E09000032,322750.00,175423.00,112400.00,532500.00,66220.00,4.30
Westminster,00BK,E09000033,230550.00,107239.00,693100.00,875000.00,80760.00,6.50
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,