,amenity
parking,7433
post_box,6711
bench,5856
bicycle_parking,5309
restaurant,5201
cafe,3853
pub,3563
waste_basket,2987
place_of_worship,2872
telephone,2861
fast_food,2768
school,2756
atm,1237
bank,1066
recycling,928
pharmacy,882
bar,726
toilets,699
post_office,635
motorcycle_parking,627
bicycle_rental,625
car_sharing,619
fuel,559
dentist,399
library,396
doctors,394
community_centre,341
kindergarten,271
vending_machine,269
hospital,247
public_building,239
shelter,225
taxi,206
grit_bin,204
college,194
police,193
theatre,187
fountain,177
grave_yard,167
university,164
clinic,164
drinking_water,134
embassy,127
fire_station,123
bureau_de_change,114
cinema,112
parking_space,108
nightclub,105
veterinary,95
clock,92
car_wash,90
marketplace,90
arts_centre,81
swimming_pool,80
car_rental,73
social_facility,73
parking_entrance,64
nursing_home,62
charging_station,58
bus_station,56
childcare,51
townhall,51
courthouse,49
studio,37
social_club,36
shop,35
post_depot,34
ferry_terminal,32
nursery,31
shopping,28
dog_bin,27
waste_disposal,26
money_transfer,25
gym,25
health_centre,24
dead_pub,23
ice_cream,20
medical_centre,18
hall,17
trolley_bay,17
scout_hut,17
notice_board,16
social_centre,15
internet_cafe,15
community_hall,15
conference_centre,15
stripclub,15
bicycle_repair_station,15
casino,14
disused,14
prison,14
hunting_stand,13
biergarten,13
job_centre,12
club,12
retirement_home,12
training,12
church_hall,11
office,11
minicab_office,11
ticket_booth,10
driving_school,10
speed_trap,9
gambling,9
bus_garage,8
advice,8
ambulance_station,8
dog_waste_bin,8
hospice,8
spa,8
preschool,7
youth_centre,7
music_venue,7
food_court,7
yes,6
life_ring,6
photo_booth,6
litter_bin,6
cabinet,6
bandstand,6
bbq,6
care_home,6
storage,6
sorting_office,6
former_pub,5
learned_society;library,5
coworking_space,5
building_society,5
register_office,5
phone,5
compressed_air,5
picnic_table,5
disused_pub,5
crematorium,5
self_storage,4
language_school,4
village_hall,4
deli,4
events_venue,4
estate_agent,4
information,4
mobile_library,4
telephone_exchange,4
parking_meter,4
sauna,4
art,4
animal_boarding,4
boat_rental,4
garden,3
scout_hall,3
weighbridge,3
dojo,3
left_luggage,3
old_pub,3
park,3
shower,3
music_school,3
tailor,3
printer,3
car_pound,3
private_club,3
water_point,3
sports_club,3
dry_cleaner,3
mortuary,3
animal_shelter,3
gardens,3
dancing_school,3
gallery,3
plumber,3
green,3
child_care,2
waste_transfer_station,2
charging_point,2
boat_hire,2
closed_toilets,2
student_union,2
student_accommodation,2
ball court,2
locksmith,2
chemist,2
recruitment_agency,2
antiques,2
paddling_pool,2
ticket_office,2
public_bookcase,2
music,2
leisure_centre,2
funeral_director,2
clubhouse,2
court_yard,2
transfers_desk,2
art_gallery,2
mechanic,2
betting_shop,2
sheltered_housing,2
lost_property,2
garage,2
changing_rooms,2
vacant,2
wedding_venue,2
health_club,2
vicarage,2
dry_cleaners,2
scouts,2
surgery,2
mobile_phone_tower,2
adult_education,2
serviced_office,2
delivery_office,2
launderette,2
watering_place,2
chiropodist,2
musical_instrument,2
bus stand,2
research_institution,2
optometrist,2
market,2
employment_agency,2
tanning,2
business,2
traffic_camera,1
warehouse,1
bowling alley,1
community_notice_board,1
community,1
Minicabs,1
court_house,1
studio;theatre,1
childrens_centre,1
Youth_Club,1
restaurant-bar,1
exhibition_venue,1
gate,1
temporary_toilet_site,1
community hall,1
former_police,1
hospital_department,1
exhibition_center,1
collection_point,1
crypt,1
unknown,1
dog_litter_box,1
gymnastics_centre,1
disused_post_box,1
arena,1
minicab,1
juice_bar,1
bicycle_pump,1
waiting_room,1
pavilion,1
photo,1
smoking_area,1
printers,1
dance_studio,1
fuel;atm,1
parcel_box,1
school_playground,1
train_wash,1
conference_venue,1
scout,1
sport,1
Royal Mail Delivery Office,1
disused:pub,1
pub_construction,1
consulate,1
milkshake,1
taxi_office,1
social_security,1
beauty_clinic,1
taxi_point,1
club_house,1
water_pump,1
convenience_store,1
dentists,1
alternative_health,1
dog_waste_basket,1
"""function_centre",1
power_socket,1
counselling,1
playground,1
refuse_incinerator,1
piazza,1
car_hire,1
society,1
bingo_hall,1
massage_parlour,1
financial_advise,1
osteopath,1
user_defined,1
academy,1
fashion,1
betting,1
community_centre;preschool,1
beauty_salon,1
accountants,1
shared_office,1
solicitor,1
lifeboat_station,1
health,1
citizens_advice_bureaux,1
credit_union,1
cigarette_cafe,1
pole,1
map,1
retirement home,1
social,1
former_fuel,1
pet,1
undertaker,1
dead_post_office,1
boat_parking,1
archives,1
restaurant;bar,1
charity,1
square,1
carpenter,1
construction,1
public_hall,1
bus_depot,1
residential_home,1
Samuel Court,1
youth_project,1
interior,1
sports_field,1
former_nightclub,1
sun_lounge,1
shopping_centre,1
swimming_outdoor_shower_thingy,1
monastery,1
animal_bording,1
viewing_platform,1
cadet hut,1
barbers,1
cafe;restaurant,1
box_office,1
mobile_phone_mast,1
composting,1
local government office,1
parliament,1
cultural_centre,1
municipal,1
community_center,1
skills_centre,1
sculpture,1
nature_reserve,1
planetarium,1
boat_storage,1
hall_of_residence,1
aircraft_fuel,1
brothel,1
therapists,1
train_terminal,1
dead_post_box,1
pet_waste_basket,1
foreign_exchange,1
snooker_hall,1
children_centre,1
function_hall,1
traffic_light_camera,1
wholesale,1
former_fast_food,1
public_display_screen,1
playschool,1
bar;restaurant,1
currency_exchange,1
public_building;place_of_worship,1
translation_services,1
swingerclub,1
seating,1
courier,1
service,1
medical,1
cyber_cafe,1
Baggage_Checkin,1
i,1
pitch,1
Waterloo&City Line,1
advice_bureau,1
buggy_parking,1
Restroom,1
delivery_depot,1
driving_test_centre,1
mall,1
Housing Office,1
bingo,1
stumps,1
Lavanderia,1
outdoor_gym,1
van_rental,1
Hall,1
Minicab Office,1
Closed pub ( Aug 11 ),1
Childrens Centre,1
Distilery,1
housing_office,1
escape_game,1
bin,1
visa,1
shoe_shine,1
childrens_play_centre,1
Yellow-fever Centre,1
serviced_apartments,1
shops,1
shopping_parade,1
formerly_cafe,1
bin_store,1
micro_scooter_parking,1
reprographics,1
statue,1
polling_station,1
postal_sorting_office,1
station_entrance,1
civic_centre,1
pizzeria,1
religious_precinct,1
Church_Hall,1
